"","X","CaseOrder","Customer_id","Interaction","City","State","County","Zip","Lat","Lng","Population","Area","Timezone","Job","Children","Age","Education","Employment","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","item1","item2","item3","item4","item5","item6","item7","item8"
"1379",1379,1379,"T784519","f253e890-f725-48dc-8aee-d285b02333c5","Valley Center","CA","San Diego",92082,33.2508,-117.00049,18065,"Suburban","America/Los_Angeles","Graphic designer",1,67,"9th Grade to 12th Grade, No Diploma","Full Time",33168.88,"Separated","Female","Yes",8.786508062,9,0,3,"Yes","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","No","No","Mailed Check",5.791194183,158.825486,596.625449,2,4,4,3,4,3,3,3
"1478",1478,1478,"B541413","89f63ad5-7518-46c0-b4f4-43973f8efb54","Warm Springs","AR","Randolph",72478,36.46333,-91.05581,370,"Rural","America/Chicago","Field trials officer",0,53.2995298858294,"9th Grade to 12th Grade, No Diploma","Full Time",13867.89,"Widowed","Male","No",6.424598657,10,0,3,"No","One year","Yes","No","None","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Mailed Check",1.350108155,127.8936582,411.2961627,1,3,2,5,2,4,5,3
"1592",1592,1592,"R944888","ace599eb-18e7-4574-bf58-5a09ede66126","Clayhole","KY","Breathitt",41317,37.44763,-83.18914,84,"Rural","America/New_York","Charity fundraiser",0,53.2995298858294,"Some College, Less than 1 Year","Full Time",34871.44,"Separated","Male","No",9.868415486,14,1,3,"No","Month-to-month","Yes","No","DSL","Yes","No","No","No","No","No","No","Yes","No","Electronic Check",7.363761345,126.731504,1313.42902,4,3,4,3,3,5,4,3
"1635",1635,1635,"J429182","711da232-8f2d-4635-a8b1-d4e1f6aa53e3","Barksdale Afb","LA","Bossier",71110,32.50008,-93.59976,4884,"Suburban","America/Chicago","Surveyor, minerals",0,53.2995298858294,"Bachelor's Degree","Student",116572.8,"Never Married","Male","No",9.735227765,13,0,3,"No","Two Year","No","No","Fiber Optic","Yes","No","No","No","No","Yes","Yes","No","Yes","Mailed Check",11.67107144,150.7574119,1146.616856,4,4,3,4,3,2,3,3
"1842",1842,1842,"W712461","aa48a50d-81da-4abc-9a7a-f7e3a182d85e","Broadway","NJ","Warren",8808,40.73214,-75.04926,142,"Urban","America/New_York","Designer, furniture",0,53.2995298858294,"Some College, 1 or More Years, No Degree","Full Time",89524.54,"Separated","Male","No",11.44374951,8,2,3,"No","One year","No","Yes","None","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Electronic Check",2.111376258,130.6020429,662.6103493,4,3,3,1,5,2,3,1
"1940",1940,1940,"U741540","86f69477-52c3-493a-8d0f-0371a64a6731","Whittemore","IA","Kossuth",50598,43.08188,-94.41708,868,"Urban","America/Chicago","Economist",2,64,"Some College, 1 or More Years, No Degree","Full Time",33168.88,"Separated","Female","No",9.227402795,15,2,3,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","Yes","No","No","Yes","Yes","Electronic Check",13.03967126,160.2372328,1324.519398,3,3,3,1,5,4,1,2
"2336",2336,2336,"D602975","e8096777-57a3-4051-9ab3-9ede56877c9a","Moorland","IA","Webster",50566,42.43887,-94.32969,450,"Rural","America/Chicago","Illustrator",0,25,"Some College, 1 or More Years, No Degree","Unemployed",39681.63,"Separated","Male","Yes",4.417131291,16,0,3,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Mailed Check",4.244853524,195.3248299,829.6494763,3,4,2,3,3,1,3,2
"2375",2375,2375,"C138736","87507ffb-fe37-4cb6-adaa-6d323309157e","Elbing","KS","Butler",67041,38.05393,-97.12995,336,"Rural","America/Chicago","IT technical support officer",0,32,"Some College, 1 or More Years, No Degree","Full Time",90075.68,"Widowed","Male","Yes",11.41985667,13,1,3,"Yes","Month-to-month","Yes","No","DSL","Yes","No","No","No","Yes","Yes","Yes","No","No","Mailed Check",23.16242058,143.2106214,2698.307074,2,3,2,4,5,4,2,3
"2663",2663,2663,"I643695","0d9c7636-6ad0-4102-9b9b-370bfaaca1bc","Liberty Mills","IN","Wabash",46946,41.03938,-85.73048,24,"Rural","America/Indiana/Indianapolis","Bonds trader",1,56,"Regular High School Diploma","Full Time",33168.88,"Divorced","Female","No",8.812351303,10,2,3,"No","Month-to-month","Yes","Yes","DSL","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Bank Transfer(automatic)",11.46673877,132.3486181,1715.911701,4,3,4,4,2,4,3,6
"2819",2819,2819,"H673597","bdffcd4d-432b-4c79-abd3-41cccf8dd6d8","East Berkshire","VT","Franklin",5447,44.93098,-72.70279,77,"Rural","America/New_York","Social researcher",1,74,"Some College, Less than 1 Year","Part Time",26735.83,"Widowed","Male","No",11.01915635,10,1,3,"Yes","One year","Yes","No","Fiber Optic","Yes","No","No","No","Yes","Yes","No","No","No","Electronic Check",14.06379093,138.8959507,1271.791514,5,3,5,4,5,2,3,3
"2939",2939,2939,"Z116711","c54bc608-2301-420e-8378-596db53b2aec","Martinsville","NJ","Somerset",8836,40.59608,-74.55466,3766,"Suburban","America/New_York","Mechanical engineer",1,39,"GED or Alternative Credential","Full Time",33168.88,"Widowed","Female","No",9.948225813,9,1,3,"No","Two Year","No","Yes","Fiber Optic","Yes","No","No","No","Yes","No","No","Yes","Yes","Bank Transfer(automatic)",3.294082162,158.9183203,577.1681107,2,3,3,4,5,3,2,3
"3023",3023,3023,"A561114","1876441b-8516-43a9-bbc6-30959da5e1e9","Pasadena","TX","Harris",77505,29.64608,-95.13826,24022,"Suburban","America/Chicago","Geoscientist",0,18,"GED or Alternative Credential","Full Time",104539.2,"Separated","Female","No",11.80773,13,2,3,"No","Month-to-month","Yes","Yes","DSL","Yes","No","No","No","Yes","No","No","No","Yes","Electronic Check",13.90887,105.0341,3493.512,6,5,4,5,5,4,6,4
"3270",3270,3270,"H337960","25848e26-7ef4-4a4a-a185-bf116bda7ef5","Memphis","TN","Shelby",38152,35.12278,-89.93396,988,"Rural","America/Chicago","Metallurgist",0,64,"Regular High School Diploma","Full Time",36171.15,"Married","Male","No",14.33055,11,1,3,"No","One year","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Electronic Check",36.63634,165.1626,3181.512,5,6,5,3,3,3,4,5
"3325",3325,3325,"O555493","023613dd-a75b-4252-a1cd-e411df0eb7a3","Rochester","NY","Monroe",14611,43.1475,-77.64723,16630,"Rural","America/New_York","Warden/ranger",2,53.2995298858294,"Bachelor's Degree","Full Time",3834.42,"Widowed","Female","No",9.226586,17,1,3,"No","Two Year","No","No","DSL","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Electronic Check",17.54953,204.9416,2326.986,3,3,4,5,2,5,6,5
"3451",3451,3451,"H681000","f39c59d1-bea3-40d5-92f9-584ca8e1e16d","Amarillo","TX","Potter",79104,35.20277,-101.7886,6988,"Suburban","America/Chicago","Actuary",1,31,"Some College, 1 or More Years, No Degree","Full Time",33208.17,"Married","Female","Yes",8.182299,10,1,3,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Mailed Check",4.165508,263.8612,1053.192,6,5,5,5,2,5,6,6
"3552",3552,3552,"C892689","72a1d581-a473-4a3c-9bc0-d0ba0c9b5291","Cambridgeport","VT","Windham",5141,43.15352,-72.56688,141,"Rural","America/New_York","Pilot, airline",3,19,"Regular High School Diploma","Student",13474.86,"Divorced","Male","Yes",3.05506,13,0,3,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","No","No","No","Yes","Yes","Yes","Mailed Check",9.49793,206.2489,1472.145,3,4,2,3,4,4,3,1
"3602",3602,3602,"V465323","6913ce91-14fd-43f4-ace3-a02a71c29ef7","Millbrook","AL","Elmore",36054,32.48358,-86.36669,16080,"Suburban","America/Chicago","Lecturer, higher education",2,53.2995298858294,"9th Grade to 12th Grade, No Diploma","Full Time",125769.6,"Widowed","Male","Yes",4.85334,7,0,3,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Electronic Check",7.431055,172.3896,1283.019,1,2,1,5,1,3,4,2
"3937",3937,3937,"P495171","57f40d9e-96d5-4ce0-898e-e0331214441b","Wye Mills","MD","Talbot",21679,38.91758,-76.08466,257,"Suburban","America/New_York","Agricultural engineer",3,53.2995298858294,"Bachelor's Degree","Unemployed",32869.26,"Never Married","Female","No",7.145703,17,0,3,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","No","Yes","No","No","Yes","Bank Transfer(automatic)",20.44277,157.9454,1826.133,3,3,3,4,4,2,4,2
"4269",4269,4269,"X04255","1af74cff-f4d6-41f4-ab8d-8c3d5c9ace5f","Raleigh","NC","Wake",27616,35.86728,-78.53812,2589,"Urban","America/New_York","Chiropractor",2,53.2995298858294,"Regular High School Diploma","Full Time",53516.91,"Never Married","Female","Yes",5.354774,10,0,3,"Yes","Two Year","No","No","None","Yes","Yes","Yes","No","No","No","Yes","No","No","Mailed Check",7.244015,139.4355,1000.235,4,4,4,5,3,5,3,5
"4350",4350,4350,"B512858","17a1d606-4c19-4c53-babe-5566e6e7b8fd","Lawrenceville","GA","Gwinnett",30043,34.00303,-84.00745,2589,"Urban","America/New_York","Ranger/warden",0,83,"Some College, 1 or More Years, No Degree","Retired",57119.13,"Separated","Male","No",10.01811,14,1,3,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","No","No","No","Electronic Check",8.152935,124.2903,3493.512,3,3,3,4,2,3,3,4
"4384",4384,4384,"Y591911","0c117878-bdf3-49e8-b5d2-bfdc6962d177","Mantador","ND","Richland",58058,46.18247,-96.96328,90,"Urban","America/Chicago","Immunologist",1,55,"Regular High School Diploma","Full Time",45243.63,"Widowed","Female","Yes",7.456291,14,0,3,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","No","Yes","Yes","Yes","Electronic Check",22.98475,205.7728,2350.572,2,2,2,4,5,1,3,3
"4473",4473,4473,"S866571","a6144882-ba07-40d1-bc90-89fbf1def01e","Thelma","KY","Johnson",41260,37.82197,-82.75265,889,"Urban","America/New_York","Advertising art director",1,88,"Some College, 1 or More Years, No Degree","Full Time",33168.88,"Never Married","Prefer not to answer","Yes",7.890594,8,0,3,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Mailed Check",11.42705,184.6901,1209.084,4,3,4,3,4,3,5,4
"4687",4687,4687,"K216293","d558b41f-9c43-4155-bb58-06e696d89782","Palmer Lake","CO","El Paso",80133,39.09973,-104.9695,2558,"Suburban","America/Denver","Nurse, children's",3,73,"9th Grade to 12th Grade, No Diploma","Full Time",21336.57,"Widowed","Male","No",7.367759,9,0,3,"No","One year","No","No","DSL","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",11.5917,153.0398,1786.98,2,3,3,3,4,2,3,2
"5058",5058,5058,"Q366127","fb3a1af4-a947-4c8a-92fb-0499258266b4","Bath","PA","Northampton",18014,40.76509,-75.40936,11217,"Rural","America/New_York","Media planner",3,53.2995298858294,"Nursery School to 8th Grade","Full Time",10736.53,"Married","Female","No",8.560169,13,1,3,"No","One year","Yes","No","Fiber Optic","Yes","No","Yes","No","No","Yes","No","No","Yes","Mailed Check",60.56995,128.9038,5179.613,3,3,3,4,2,6,3,5
"5076",5076,5076,"Q441224","364ec16c-8342-4dce-bf45-cc809da5c928","Tacoma","WA","Pierce",98418,47.22323,-122.4465,9469,"Suburban","America/Los_Angeles","Historic buildings inspector/conservation officer",1,57,"Regular High School Diploma","Student",3503.09,"Married","Male","No",12.02864,7,1,3,"No","Two Year","No","No","DSL","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",64.38126,149.3751,6015.603,4,4,3,3,4,5,4,4
"5167",5167,5167,"S582524","c6e0a812-b8c6-4d4c-bf24-0d76db8a9bf1","Pontiac","IL","Livingston",61764,40.88228,-88.62818,14026,"Suburban","America/Chicago","Hospital pharmacist",2,56,"Some College, 1 or More Years, No Degree","Full Time",19173.1,"Widowed","Male","No",5.883276,13,0,4,"No","Month-to-month","No","No","DSL","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Bank Transfer(automatic)",59.67215,161.2056,5659.522,3,4,4,4,3,4,3,6
"5224",5224,5224,"B225668","2b94e625-bcae-4053-92ba-495c75f11c91","Somers","IA","Calhoun",50586,42.40411,-94.43174,287,"Urban","America/Chicago","Television/film/video producer",0,48,"Bachelor's Degree","Unemployed",18706.57,"Divorced","Female","No",10.73526,18,1,3,"No","Two Year","Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Mailed Check",66.09922,144.1914,6192.147,4,3,4,4,4,4,4,4
"5472",5472,5472,"R240894","28ce6b3b-98ae-4647-90a7-4c730afa7ed9","Lincoln","NE","Lancaster",68517,40.93398,-96.60554,629,"Urban","America/Chicago","Chief Financial Officer",0,70,"Associate's Degree","Full Time",23622.45,"Divorced","Male","No",6.225554,13,2,6,"No","Two Year","No","No","DSL","Yes","Yes","No","No","Yes","No","No","No","Yes","Mailed Check",57.81554,137.374,5320.167,3,2,2,4,3,4,4,3
"5575",5575,5575,"A132981","4fe1b3a2-688f-4f6a-a8b4-04386385ac29","Houston","TX","Harris",77051,29.6562,-95.38015,17052,"Rural","America/Chicago","Neurosurgeon",1,53.2995298858294,"Regular High School Diploma","Full Time",98072.18,"Never Married","Male","No",4.190413,11,1,3,"No","Two Year","No","No","DSL","Yes","Yes","No","No","Yes","No","Yes","No","No","Credit Card (automatic)",62.20987,162.921,5815.858,5,4,5,4,3,4,5,7
"5769",5769,5769,"P780569","1cfc2ed6-5a94-41fb-986a-2339d0bbc3a6","Jackson Springs","NC","Moore",27281,35.1861,-79.62674,3079,"Rural","America/New_York","Financial risk analyst",0,53.2995298858294,"Doctorate Degree","Full Time",43864.93,"Widowed","Male","No",9.550055,13,1,3,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Mailed Check",65.12119,263.5701,6021.416,4,4,6,4,4,4,3,3
"5892",5892,5892,"V927165","c57aa335-937d-4f16-bf6e-85475bea5ba7","Tazewell","TN","Claiborne",37879,36.47713,-83.49524,10790,"Urban","America/New_York","Garment/textile technologist",1,53.2995298858294,"Some College, 1 or More Years, No Degree","Full Time",15503.73,"Separated","Female","Yes",14.40779,15,0,3,"No","Month-to-month","Yes","Yes","DSL","Yes","Yes","No","No","No","No","No","Yes","No","Mailed Check",40.7843,171.5322,4050.379,3,3,3,4,2,4,4,4
"6051",6051,6051,"X637060","ca403c59-88b2-4518-aa5b-021719daa3d5","Mount Nebo","WV","Nicholas",26679,38.16527,-80.79764,1870,"Rural","America/New_York","Pensions consultant",0,53.2995298858294,"Professional School Degree","Full Time",33168.88,"Married","Female","No",10.95708,12,0,3,"No","Month-to-month","No","No","None","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Electronic Check",63.88777,161.3657,3493.512,3,4,4,4,1,4,5,3
"6099",6099,6099,"U186366","85f47ecf-be74-4ecc-af01-fee0b4112e16","Rockledge","GA","Laurens",30454,32.43607,-82.73373,680,"Rural","America/New_York","Personnel officer",1,88,"Master's Degree","Full Time",30819.18,"Widowed","Female","No",9.909918,14,0,3,"Yes","Two Year","Yes","No","DSL","Yes","Yes","No","No","No","No","No","No","Yes","Electronic Check",69.87194,125.3453,6112.38,3,5,3,4,3,5,4,5
"6197",6197,6197,"H403456","39c54276-9ee7-46e3-b03c-c677ad4baf31","Clearlake Oaks","CA","Lake",95423,39.06486,-122.6274,3757,"Rural","America/Los_Angeles","Dancer",2,53.2995298858294,"9th Grade to 12th Grade, No Diploma","Full Time",14975.47,"Never Married","Male","No",9.129454,6,4,3,"Yes","Month-to-month","No","Yes","None","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",66.28837,210.7709,6022.47,6,5,5,4,2,5,5,3
"6307",6307,6307,"W408649","a23e37e4-590a-4f5d-8312-1363e923cf1d","Charleston","SC","Charleston",29424,32.78364,-79.93737,390,"Rural","America/New_York","Sales executive",0,53.2995298858294,"Nursery School to 8th Grade","Full Time",25532.76,"Divorced","Female","No",14.63912,12,0,3,"No","Two Year","Yes","No","None","Yes","No","No","No","Yes","Yes","Yes","No","No","Electronic Check",66.21435,129.4761,5689.933,2,2,4,4,3,4,2,2
"6346",6346,6346,"H772847","913a24bb-1f8b-4c1c-866b-73c28111c143","Bidwell","OH","Gallia",45614,38.92975,-82.27709,4825,"Rural","America/New_York","Broadcast journalist",1,74,"Some College, 1 or More Years, No Degree","Full Time",48852.05,"Married","Male","No",5.800897,9,1,4,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Credit Card (automatic)",39.93768,172.1324,3796.014,3,4,3,2,4,2,3,3
"6367",6367,6367,"V424932","25b1a464-bea4-4786-b0f5-9f59800b26a1","Yazoo City","MS","Yazoo",39194,32.8361,-90.48744,21750,"Suburban","America/Chicago","Medical secretary",1,53.2995298858294,"Some College, 1 or More Years, No Degree","Retired",19153.88,"Widowed","Male","No",11.34137,14,0,3,"No","One year","No","No","Fiber Optic","Yes","No","No","No","No","No","Yes","Yes","Yes","Mailed Check",57.18666,207.3811,5195.501,4,3,3,5,3,5,5,4
"6441",6441,6441,"V488557","93ff1569-4681-4817-a612-f1de2d45aa76","Riverdale","IL","Cook",60827,41.64956,-87.63016,28577,"Suburban","America/Chicago","Charity officer",1,60,"9th Grade to 12th Grade, No Diploma","Retired",73479.87,"Never Married","Male","No",12.01037,11,2,3,"No","Month-to-month","No","No","DSL","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Electronic Check",67.55012,154.1904,6500.762,4,5,4,3,3,5,5,4
"6587",6587,6587,"O366561","52425fb2-1d45-492f-9a16-eb8dbc77bf1e","Anniston","AL","Calhoun",36207,33.68027,-85.71375,19746,"Urban","America/Chicago","Civil Service fast streamer",3,61,"Master's Degree","Full Time",60320.53,"Widowed","Male","No",11.34458,8,3,3,"No","One year","Yes","Yes","Fiber Optic","Yes","No","Yes","No","No","No","No","Yes","No","Electronic Check",55.00463,150.5246,4876.001,4,3,3,4,4,5,4,4
"7019",7019,7019,"V643148","bffaaf71-1e0b-441e-9104-baa3a4327e04","Tybee Island","GA","Chatham",31328,32.0071,-80.86833,3583,"Urban","America/New_York","Higher education careers adviser",1,82,"Some College, 1 or More Years, No Degree","Full Time",14677.91,"Divorced","Male","No",4.393751,14,2,3,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","No","No","Yes","Yes","No","Yes","Credit Card (automatic)",61.19612,150.3937,5152.135,3,3,4,4,3,3,4,3
"7186",7186,7186,"A505732","105376b4-868e-4461-a235-6ac8f7d5a08b","Woodstock","NY","Ulster",12498,42.0485,-74.10639,5005,"Urban","America/New_York","Visual merchandiser",1,79,"Some College, Less than 1 Year","Part Time",33168.88,"Separated","Prefer not to answer","No",7.221453,8,2,3,"Yes","One year","Yes","Yes","None","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Credit Card (automatic)",68.7146,141.2946,5897.501,3,3,3,3,3,2,5,4
"7223",7223,7223,"L466451","423dc5f0-5f65-489f-9452-0e3ee25186a1","Moyie Springs","ID","Boundary",83845,48.77845,-116.1178,1875,"Urban","America/Los_Angeles","Engineer, agricultural",3,85,"Regular High School Diploma","Retired",48415.61,"Married","Female","No",10.99413,14,1,3,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Electronic Check",69.14226,234.387,6260.501,4,4,5,4,5,3,4,5
"7279",7279,7279,"K234062","b9a81e36-ed3d-4e02-9b42-6b44d2dd4ad3","Soudan","MN","St. Louis",55782,47.8231,-92.2049,412,"Suburban","America/Chicago","Theatre manager",0,84,"Some College, 1 or More Years, No Degree","Part Time",73795.85,"Divorced","Male","No",11.75454,9,0,3,"No","Month-to-month","No","Yes","None","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Bank Transfer(automatic)",67.31311,108.0913,5646.558,5,6,5,2,5,3,3,3
"7332",7332,7332,"Z760646","35de96c9-296c-4528-8dd5-553e421b882e","East Sparta","OH","Stark",44626,40.68963,-81.38379,3015,"Rural","America/New_York","Youth worker",1,23,"Master's Degree","Full Time",33168.88,"Divorced","Male","No",8.843562,8,2,3,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Mailed Check",36.63634,222.6741,4728.94,3,3,3,4,3,3,3,2
"7455",7455,7455,"M950404","2073fac2-9356-40a8-b77d-8a4272836a95","Watsonville","CA","Santa Cruz",95076,36.93926,-121.7484,2589,"Suburban","America/Los_Angeles","Investment banker, corporate",1,83,"Regular High School Diploma","Full Time",51221.88,"Never Married","Female","No",7.796971,11,2,3,"No","One year","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Yes","No","No","Mailed Check",54.80402,162.9276,5175.099,3,4,4,4,3,5,5,3
"7646",7646,7646,"U13444","5514e6ef-f9d9-4268-bf19-b2e0a9134a23","Gause","TX","Milam",77857,30.78439,-96.70859,700,"Urban","America/Chicago","Oceanographer",2,83,"Some College, 1 or More Years, No Degree","Full Time",69131.11,"Separated","Male","No",6.674126,14,0,3,"Yes","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Bank Transfer(automatic)",56.45799,182.4228,4894.144,5,6,5,4,3,5,3,5
"7891",7891,7891,"C909763","b7632f7f-5c64-451c-8b8f-b7bdda32b2fd","Ione","OR","Morrow",97843,45.50473,-119.8979,621,"Urban","America/Los_Angeles","Journalist, newspaper",1,19,"Regular High School Diploma","Full Time",33168.88,"Divorced","Female","No",12.3574,13,1,3,"No","One year","No","No","None","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",64.12593,190.706,5999.971,5,5,5,3,4,2,5,3
