"","X","CaseOrder","Customer_id","Interaction","City","State","County","Zip","Lat","Lng","Population","Area","Timezone","Job","Children","Age","Education","Employment","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","item1","item2","item3","item4","item5","item6","item7","item8"
"1726",1726,1726,"Q154739","bf5b9381-22fa-44d6-8b31-ecb1ce0f479d","White Oak","TX","Gregg",75693,32.53385,-94.85985,7122,"Urban","America/Chicago","Further education lecturer",0,53.2995298858294,"Some College, 1 or More Years, No Degree","Unemployed",165151.02,"Separated","Male","No",37.90117452,10,1,0,"Yes","One year","No","No","DSL","Yes","No","No","No","No","No","No","Yes","Yes","Bank Transfer(automatic)",6.267383901,154.1677516,1174.414663,6,5,6,5,3,5,5,4
"1909",1909,1909,"H948553","aadd30e8-bea6-4e6f-a24d-b1ee552e8478","Asbury","NJ","Hunterdon",8802,40.67647,-75.02428,4035,"Urban","America/New_York","Cabin crew",1,25,"Regular High School Diploma","Student",152172.92,"Widowed","Female","Yes",8.903260463,15,3,0,"No","One year","No","No","None","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Bank Transfer(automatic)",3.390052702,211.0494288,1022.519614,4,4,4,3,2,4,4,4
"1938",1938,1938,"V966228","67c4d278-4863-44b4-81f2-b77937f3c2ac","Houston","TX","Harris",77030,29.70629,-95.4026,10963,"Suburban","America/Chicago","Administrator, education",1,24,"Regular High School Diploma","Part Time",137589.2,"Widowed","Male","No",10.80421535,10,2,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","Yes","Yes","Yes","No","No","No","Electronic Check",11.04013684,159.4943217,1281.961793,3,3,3,4,2,4,5,4
"2124",2124,2124,"Q38182","d7564b05-4911-4f3c-b856-08fc826880fb","Los Angeles","CA","Los Angeles",90015,34.03939,-118.26645,21801,"Suburban","America/Los_Angeles","Museum/gallery conservator",1,53.2995298858294,"Bachelor's Degree","Student",146782.33,"Never Married","Male","No",12.69810477,12,2,0,"No","Two Year","Yes","No","DSL","Yes","No","No","No","No","No","No","No","No","Mailed Check",1.577214665,93.7637016,575.972228,2,3,2,3,3,3,4,3
"2356",2356,2356,"D366434","d33fe4be-6597-4222-aebe-cb2612980f09","Keyes","CA","Stanislaus",95328,37.55826,-120.90987,4518,"Urban","America/Los_Angeles","Engineer, manufacturing",1,86,"Bachelor's Degree","Full Time",143217.5,"Widowed","Male","No",11.39778489,13,2,0,"No","One year","No","Yes","DSL","Yes","No","No","No","Yes","No","No","Yes","No","Credit Card (automatic)",17.20501952,140.1177331,3493.512,4,4,4,2,4,3,2,4
"2361",2361,2361,"K255983","0a407e01-2fee-4347-8b67-b0c0c00eeabc","Springlake","TX","Lamb",79082,34.22431,-102.28774,239,"Rural","America/Chicago","Pharmacist, community",3,53.2995298858294,"Some College, 1 or More Years, No Degree","Full Time",134691.26,"Separated","Female","No",11.96299766,11,0,0,"No","Month-to-month","Yes","No","Fiber Optic","No","No","No","Yes","No","No","No","Yes","No","Electronic Check",20.14175907,171.0945549,1982.143037,3,3,4,4,5,4,4,4
"2659",2659,2659,"G499792","48445ffc-14f9-4bb6-be86-8d5dcc721954","Bloomingdale","NJ","Passaic",7403,41.02127,-74.33188,7999,"Suburban","America/New_York","Dealer",1,25,"Nursery School to 8th Grade","Full Time",138555.91,"Divorced","Male","Yes",12.13295482,12,3,0,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Bank Transfer(automatic)",11.96095692,141.3023846,2058.120961,4,2,3,1,6,3,3,6
"2763",2763,2763,"G991685","2dcf2d3e-34b0-430c-9b96-f410ff735f04","Woodbine","GA","Camden",31569,30.90736,-81.70486,5831,"Rural","America/New_York","Production engineer",1,33,"Associate's Degree","Full Time",175137.34,"Never Married","Male","Yes",11.39732476,14,1,1,"No","Month-to-month","No","No","None","Yes","Yes","No","No","No","No","Yes","Yes","No","Electronic Check",18.21029576,207.0173498,2150.497966,4,3,3,4,1,3,3,3
"2797",2797,2797,"W979591","9f799c7e-ea6b-43a5-9591-97ab2afa02dc","Benezett","PA","Elk",15821,41.35536,-78.36768,131,"Urban","America/New_York","Engineer, communications",3,82,"Bachelor's Degree","Full Time",131511.82,"Widowed","Male","Yes",9.188761949,7,0,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Electronic Check",13.47613483,172.2192869,1838.415776,3,3,3,4,3,3,5,3
"2852",2852,2852,"C885204","54e268cc-a832-4a75-829e-300e0d320019","Minneapolis","MN","Hennepin",55443,45.11958,-93.33713,31758,"Urban","America/Chicago","Quarry manager",1,53.2995298858294,"Some College, 1 or More Years, No Degree","Student",145163.14,"Divorced","Female","No",8.052853545,5,1,1,"No","Two Year","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Mailed Check",11.40421301,159.9877574,1603.711289,3,3,2,2,4,4,4,4
"3002",3002,3002,"Z02519","3f91528b-ff53-4b01-99bf-05015081bf4e","Ormond Beach","FL","Volusia",32174,29.28542,-81.16355,2589,"Rural","America/New_York","Chief Executive Officer",1,27,"Some College, 1 or More Years, No Degree","Full Time",145569.5,"Separated","Male","Yes",12.55818,6,2,0,"Yes","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Electronic Check",2.258878,174.6733,755.0712,4,5,4,5,3,4,4,5
"3121",3121,3121,"E691911","a17b469b-cbaf-43c0-9222-8c36bdc66f1e","Aberdeen","MD","Harford",21001,39.51075,-76.20061,24453,"Suburban","America/New_York","Consulting civil engineer",1,53.2995298858294,"Master's Degree","Full Time",160589.2,"Married","Female","Yes",4.528849,14,1,1,"No","Month-to-month","No","No","DSL","Yes","No","Yes","No","No","No","No","Yes","Yes","Credit Card (automatic)",6.693474,128.5256,1301.156,3,3,3,3,5,2,2,2
"3398",3398,3398,"K563405","b3cf3eea-cf93-404b-a0da-1a3890915253","Damascus","GA","Miller",39841,31.28183,-84.68109,705,"Urban","America/New_York","Chiropractor",2,22,"Master's Degree","Full Time",159113.5,"Never Married","Male","Yes",10.8612,9,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Electronic Check",7.557333,207.0171,1262.139,2,3,3,4,3,2,2,3
"3517",3517,3517,"G890475","ff567c63-5d21-4cb1-9d16-c4e8bc0d0bf8","Haiku","HI","Maui",96708,20.85231,-156.2229,10243,"Urban","Pacific/Honolulu","Psychiatric nurse",3,58,"Regular High School Diploma","Full Time",142086.1,"Divorced","Male","No",10.67969,9,1,0,"No","One year","Yes","Yes","Fiber Optic","Yes","Yes","No","Yes","No","Yes","No","No","No","Electronic Check",36.63634,180.1724,2196.794,4,4,3,2,5,4,3,3
"3662",3662,3662,"L485651","731e0c6c-853d-4dec-9b29-80d5560aacba","Ross","ND","Mountrail",58776,48.24281,-102.6139,207,"Urban","America/Chicago","Mudlogger",1,67,"Some College, Less than 1 Year","Full Time",152972.9,"Divorced","Female","Yes",10.05506,14,3,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Mailed Check",14.70737,164.4401,1905.72,3,4,4,3,5,3,2,4
"3745",3745,3745,"Z624812","fae94fd9-1a02-404c-a52f-7b9e78b8cef4","Milltown","NJ","Middlesex",8850,40.44724,-74.44011,8488,"Suburban","America/New_York","Copy",3,58,"Master's Degree","Unemployed",147682,"Divorced","Female","Yes",5.21292,14,1,1,"No","Month-to-month","No","No","DSL","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Electronic Check",36.63634,161.3951,1626.329,4,4,4,3,4,4,3,3
"3783",3783,3783,"O818301","a53fc37f-fa46-49e5-8e73-8062d1a6811a","Carrollton","GA","Carroll",30117,33.58016,-85.13241,35575,"Urban","America/New_York","Biochemist, clinical",1,62,"Some College, 1 or More Years, No Degree","Full Time",172372.2,"Widowed","Female","No",8.546084,14,0,0,"Yes","Two Year","No","Yes","DSL","Yes","Yes","No","No","No","No","No","No","Yes","Electronic Check",36.63634,125.1262,1749.549,2,1,2,4,2,2,3,3
"3799",3799,3799,"S639183","60355200-a562-4767-a206-7cef231a746c","Wabash","IN","Wabash",46992,40.78605,-85.82911,16352,"Urban","America/Indiana/Indianapolis","Quality manager",3,53.2995298858294,"Some College, 1 or More Years, No Degree","Full Time",131265.4,"Widowed","Male","Yes",10.77744,14,0,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",12.28371,287.2344,1873.85,5,5,3,4,4,4,3,4
"3846",3846,3846,"A525577","6924e87d-634e-4934-ab20-e151be8624ba","Roma","TX","Starr",78584,26.57856,-98.98753,19270,"Urban","America/Chicago","Tourist information centre manager",3,53.2995298858294,"Some College, 1 or More Years, No Degree","Full Time",138723,"Married","Female","Yes",9.621777,15,1,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","No","Yes","No","Yes","Yes","No","Mailed Check",1.20533,212.2666,1192.84,2,3,3,3,4,3,3,2
"3954",3954,3954,"W937828","29705855-df94-40a4-816d-40fe890c0da8","Diagonal","IA","Ringgold",50845,40.81871,-94.35237,861,"Urban","America/Chicago","Pilot, airline",1,19,"Some College, Less than 1 Year","Full Time",166553.1,"Widowed","Female","Yes",15.70021,14,4,0,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Electronic Check",4.538742,142.7357,1368.093,4,2,3,3,5,1,3,3
"3986",3986,3986,"Y275063","358359fd-20af-4dba-b6c2-f7505004a2d9","Houston","TX","Harris",77019,29.75322,-95.41028,21319,"Suburban","America/Chicago","Accountant, chartered public finance",3,76,"9th Grade to 12th Grade, No Diploma","Part Time",189938.4,"Widowed","Female","Yes",6.1972,12,1,0,"No","Month-to-month","Yes","No","None","Yes","Yes","No","No","No","Yes","No","Yes","No","Electronic Check",6.833364,157.9691,798.5571,4,5,5,2,4,3,5,3
"4250",4250,4250,"B424726","b185ab4c-7827-4d10-b84a-d1b4e77c1aca","Tionesta","PA","Forest",16353,41.50109,-79.377,2660,"Rural","America/New_York","Geochemist",0,56,"Some College, 1 or More Years, No Degree","Full Time",258900.7,"Divorced","Male","No",12.69521,15,1,1,"No","Two Year","No","Yes","Fiber Optic","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Credit Card (automatic)",8.870031,233.4502,1296.502,4,3,4,5,3,3,5,2
"4376",4376,4376,"S433940","838601ca-bf21-43f8-af50-8c642fc4e028","Phoenix","AZ","Maricopa",85041,33.38586,-112.1088,2589,"Suburban","America/Phoenix","Games developer",2,34,"Nursery School to 8th Grade","Full Time",134838.8,"Divorced","Male","Yes",7.134923,12,0,0,"No","Two Year","Yes","Yes","DSL","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",9.51775,200.8794,1892.445,3,3,4,3,3,4,4,4
"4407",4407,4407,"F81860","9be3a26e-6f3b-45f2-89fd-a5a24a4bf5e7","Mount Sterling","KY","Montgomery",40353,38.06565,-83.94762,22548,"Suburban","America/New_York","Engineer, maintenance",1,49,"Regular High School Diploma","Part Time",156571,"Separated","Female","Yes",5.440157,11,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","No","Yes","No","No","No","Yes","Credit Card (automatic)",36.63634,125.4883,3493.512,3,3,3,3,3,3,3,5
"5332",5332,5332,"K202134","20fde10c-bb9f-4790-8800-4b62772a7440","Ashland","OR","Jackson",97520,42.15773,-122.5513,25030,"Suburban","America/Los_Angeles","Radiation protection practitioner",1,56,"9th Grade to 12th Grade, No Diploma","Full Time",151312.2,"Divorced","Male","No",7.68097,8,1,0,"No","Month-to-month","No","No","DSL","Yes","No","No","Yes","Yes","Yes","No","No","No","Electronic Check",64.38382,140.0765,6022.975,5,4,3,2,3,5,4,4
"5389",5389,5389,"C540743","0e28284f-4a62-45f0-87f1-bcbfc5e7e403","Imperial","NE","Chase",69033,40.56053,-101.6785,2416,"Rural","America/Denver","Logistics and distribution manager",0,83,"Associate's Degree","Retired",152813.5,"Divorced","Male","No",14.31309,13,1,1,"No","Month-to-month","No","No","DSL","Yes","No","No","No","Yes","Yes","No","No","No","Electronic Check",54.03025,119.6085,4899.758,6,4,4,3,5,3,2,4
"5402",5402,5402,"B250151","67e6926a-c2a1-4a11-a99e-dabafe8c2642","Grampian","PA","Clearfield",16838,40.99368,-78.64028,1833,"Rural","America/New_York","IT technical support officer",1,78,"9th Grade to 12th Grade, No Diploma","Part Time",141362.6,"Widowed","Female","No",10.23355,13,1,0,"Yes","Two Year","No","Yes","None","Yes","No","No","Yes","No","Yes","No","No","Yes","Electronic Check",65.24071,115.8512,3493.512,2,3,3,5,4,3,3,3
"5406",5406,5406,"N502032","c47c3132-ea4d-40da-aace-b206083b3cc1","Heidelberg","MS","Jasper",39439,31.85486,-89.01243,4245,"Suburban","America/Chicago","Tourism officer",2,26,"9th Grade to 12th Grade, No Diploma","Full Time",131834.1,"Married","Male","No",41.08598,12,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Electronic Check",57.33843,213.6948,5228.37,4,3,4,3,5,3,5,3
"5554",5554,5554,"H710205","19ce6c55-c28e-485a-9077-5bc0dc408c03","Santa Clara","CA","Santa Clara",95053,37.34874,-121.9376,3678,"Urban","America/Los_Angeles","Environmental manager",0,53.2995298858294,"Regular High School Diploma","Full Time",131647.5,"Married","Male","No",10.43275,12,0,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Credit Card (automatic)",61.38199,163.139,5782.143,4,5,5,3,5,4,4,4
"5584",5584,5584,"X860092","1816cd38-5adf-4542-b0a2-21f6b25195ab","Monterey","TN","Putnam",38574,36.13736,-85.23317,8377,"Rural","America/Chicago","Designer, graphic",2,53.2995298858294,"Some College, 1 or More Years, No Degree","Full Time",160862.9,"Divorced","Male","No",1.599049,11,1,2,"No","One year","Yes","No","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Credit Card (automatic)",63.28283,190.5816,3493.512,5,4,4,3,3,5,5,4
"5679",5679,5679,"R310574","d44ccc0a-219c-4437-8357-379f7bac9574","Lakeville","MA","Plymouth",2347,41.83127,-70.95914,11335,"Rural","America/New_York","Social researcher",1,56,"Regular High School Diploma","Full Time",135516.9,"Separated","Male","No",12.20045,10,0,0,"No","Month-to-month","No","No","DSL","Yes","No","Yes","No","No","No","No","Yes","No","Credit Card (automatic)",68.32614,130.1324,6335.855,5,4,4,5,4,3,5,4
"5802",5802,5802,"Z110883","0e78faa9-b722-403b-9c6a-b91f2d4f78fe","Chicora","PA","Butler",16025,40.94468,-79.75638,5237,"Suburban","America/New_York","Surveyor, planning and development",1,53.2995298858294,"Regular High School Diploma","Retired",212255.3,"Never Married","Female","No",9.833934,10,0,1,"Yes","Month-to-month","No","No","None","Yes","No","No","No","No","No","Yes","No","No","Electronic Check",58.50278,106.4319,5080.068,3,3,3,4,4,3,4,3
"6035",6035,6035,"N720342","7847e118-3983-4af0-8975-30ff9b158257","Dahlgren","VA","King George",22448,38.3405,-77.03217,649,"Suburban","America/New_York","Lighting technician, broadcasting/film/video",1,53.2995298858294,"Some College, Less than 1 Year","Full Time",131680.1,"Married","Female","Yes",11.97712,12,0,0,"Yes","Month-to-month","No","Yes","None","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Bank Transfer(automatic)",58.36624,181.7364,5321.728,2,3,3,3,3,2,3,3
"6131",6131,6131,"S753517","e8c5c49c-a54e-4d91-bcf9-50ac0121f95d","Santa Ynez","CA","Santa Barbara",93460,34.64865,-120.0245,4929,"Rural","America/Los_Angeles","Industrial/product designer",1,53.2995298858294,"Some College, Less than 1 Year","Part Time",167846,"Separated","Prefer not to answer","No",11.99221,7,3,1,"No","One year","No","No","DSL","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Mailed Check",62.6686,183.5283,5901.899,2,2,1,3,3,3,3,2
"6513",6513,6513,"I800085","ef0ce881-0055-4357-bce8-98f8c0343a62","New Braunfels","TX","Comal",78130,29.69772,-98.0702,2589,"Suburban","America/Chicago","Agricultural engineer",3,80,"Bachelor's Degree","Part Time",146317.6,"Divorced","Male","No",8.599875,12,2,1,"No","Month-to-month","No","No","DSL","Yes","Yes","No","Yes","No","No","No","No","Yes","Mailed Check",36.63634,146.889,5735.926,4,4,4,2,5,4,4,2
"6838",6838,6838,"L820987","296ed4a8-b450-41b0-b5fd-109186b7ef20","Saint Jo","TX","Montague",76265,33.74828,-97.54502,1602,"Rural","America/Chicago","Chief Operating Officer",1,35,"Some College, 1 or More Years, No Degree","Full Time",194550.7,"Divorced","Female","No",8.315082,11,1,0,"Yes","Month-to-month","No","Yes","None","No","No","No","No","Yes","Yes","Yes","Yes","No","Mailed Check",36.63634,200.5407,5591.655,2,3,4,2,6,2,4,2
"7057",7057,7057,"X376884","25118fbd-00e8-4ab5-986e-6db848d1ca3e","Juntura","OR","Malheur",97911,43.75426,-118.057,78,"Rural","America/Boise","Health physicist",1,20,"Regular High School Diploma","Student",139625,"Separated","Female","No",8.75073,10,2,2,"Yes","One year","No","Yes","None","Yes","No","No","No","No","No","Yes","No","No","Electronic Check",67.5801,104.9346,5888.691,4,4,3,6,4,2,2,3
"7273",7273,7273,"Z960003","23f9c0bb-9014-46d5-aa36-cbf67f2e7bfb","Oklahoma City","OK","Oklahoma",73130,35.45863,-97.34557,20604,"Urban","America/Chicago","Armed forces technical officer",0,30,"Regular High School Diploma","Part Time",146544.6,"Widowed","Male","No",11.31942,9,0,0,"No","Month-to-month","No","No","None","No","No","Yes","No","No","Yes","No","Yes","Yes","Credit Card (automatic)",67.66242,129.2076,5926.76,2,2,2,4,3,3,2,3
"7503",7503,7503,"A314084","a0ee80df-8c92-4744-b987-d78daaad866f","Ames","IA","Story",50010,42.03362,-93.58827,33965,"Suburban","America/Chicago","Town planner",1,26,"Some College, 1 or More Years, No Degree","Full Time",137977.7,"Separated","Male","No",5.072411,8,0,1,"No","Month-to-month","Yes","No","DSL","Yes","No","No","No","No","Yes","Yes","No","Yes","Electronic Check",63.52166,130.2326,6001.351,3,3,3,2,5,3,2,4
"7685",7685,7685,"B110173","4de706f8-200e-4cbe-b8ae-7633b14b0b2a","Globe","AZ","Gila",85501,33.53908,-110.7535,13020,"Urban","America/Phoenix","Engineer, structural",1,42,"Master's Degree","Full Time",140367.2,"Married","Female","No",7.408745,15,0,0,"No","Month-to-month","Yes","No","None","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Mailed Check",54.37108,158.8525,4824.624,3,3,3,4,3,2,3,4
"7805",7805,7805,"C103156","93329400-68ed-407b-99cb-b8df8345b514","Newell","SD","Butte",57760,44.97606,-103.2548,1158,"Urban","America/Denver","Ophthalmologist",0,77,"Some College, 1 or More Years, No Degree","Part Time",149891.1,"Married","Male","No",13.1439,12,0,0,"Yes","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Credit Card (automatic)",56.51219,263.5019,5203.297,4,4,3,2,5,3,3,2
"7910",7910,7910,"N580342","6c89361d-088c-4cd6-bd5a-a3c51df0e1cc","Dallas","TX","Dallas",75211,32.73491,-96.903,2589,"Urban","America/Chicago","Biomedical scientist",1,69,"Regular High School Diploma","Student",138155.7,"Never Married","Prefer not to answer","No",10.06219,12,2,0,"No","Two Year","Yes","No","DSL","No","No","No","No","No","No","Yes","No","Yes","Mailed Check",64.90171,116.4883,5975.365,4,4,5,3,4,4,3,4
"7964",7964,7964,"F649912","a15111e6-d034-4028-b696-085671e6f076","North Beach","MD","Calvert",20714,38.72222,-76.54613,4622,"Rural","America/New_York","Stage manager",1,26,"Regular High School Diploma","Full Time",159532.5,"Widowed","Female","No",14.97183,18,0,0,"No","Two Year","Yes","No","Fiber Optic","No","Yes","No","No","Yes","No","No","No","No","Credit Card (automatic)",58.58252,156.6855,5062.276,3,3,2,5,3,3,4,3
"8018",8018,8018,"D94567","0707d6a4-8601-4b84-abe3-4429aa018dbb","West Long Branch","NJ","Monmouth",7764,40.28832,-74.0185,7917,"Suburban","America/New_York","Games developer",3,25,"Associate's Degree","Full Time",150264.3,"Separated","Male","No",16.07136,17,3,0,"No","Two Year","No","No","None","Yes","No","No","Yes","No","No","Yes","No","Yes","Credit Card (automatic)",46.77244,128.6117,4339.192,4,4,4,2,3,6,3,4
"8180",8180,8180,"Q605275","0e5510e5-6921-4d0f-9141-248df96823ee","Fall River","MA","Bristol",2723,41.69271,-71.12968,14279,"Urban","America/New_York","Product designer",1,53.2995298858294,"Some College, Less than 1 Year","Full Time",146536.7,"Divorced","Male","No",9.554865,11,3,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","Yes","No","No","Yes","No","Bank Transfer(automatic)",64.49464,171.8375,5981.218,3,3,3,4,2,3,2,3
"8413",8413,8413,"Y476794","cb65b2a0-ea65-4f64-9457-efa6e6535114","Berryville","AR","Carroll",72616,36.34291,-93.5564,11237,"Rural","America/Chicago","Occupational hygienist",1,85,"Bachelor's Degree","Full Time",146600.8,"Widowed","Female","No",13.46103,12,1,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","Yes","No","No","No","Yes","Credit Card (automatic)",64.15463,134.9536,5738.897,4,4,5,3,5,4,3,2
"8458",8458,8458,"C364813","a690f701-9b9d-42f6-b48b-92e0446e2842","China","TX","Jefferson",77613,30.04723,-94.35561,963,"Urban","America/Chicago","Public affairs consultant",1,53.2995298858294,"Master's Degree","Full Time",164529,"Widowed","Male","Yes",12.10414,15,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Electronic Check",62.99453,243.39,5837.201,4,4,3,3,4,5,4,5
"8745",8745,8745,"M18617","b3dfcd74-a09c-497d-88a4-1cce191271c1","Arkansaw","WI","Pepin",54721,44.62933,-92.06966,1269,"Rural","America/Chicago","Advertising account planner",1,42,"Bachelor's Degree","Part Time",143641.2,"Separated","Male","No",33.64011,11,2,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Credit Card (automatic)",64.5472,285.305,6104.448,4,4,4,3,4,3,3,5
