Churn,Tenure,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Population,Age,Income,Children,Timely_Response,Timely_Fixes,Timely_Replacements,Reliability,Options,Respectful_Response,Courteous_Exchange,Active_Listening,Gender_Female,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Phone,Multiple,InternetService_Fiber_Optic,InternetService_DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Monthly,Contract_One_Year,PaperlessBilling
0,2.257358355,8.6026551,11,0,0,1206,32,71596.14,2,5,3,5,5,3,3,5,2,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0
0,4.151256695,11.59313893,13,0,2,319,61,19815.63,0,3,2,3,4,3,4,5,4,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
1,2.188918771,8.294186076,13,0,0,55519,75,58482.9,0,3,3,3,3,3,4,3,3,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1
1,13.85488928,15.19664016,9,1,0,15210,63,41656.53,0,3,2,3,2,4,3,2,4,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
0,18.38404445,9.834012571,7,1,0,4654,76,81127.41,0,3,2,3,4,2,4,5,3,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1
0,6.998814446,14.4754365,11,1,1,3324,20,40211.04,0,3,4,3,5,2,6,6,6,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1
0,11.13472066,13.79409442,10,1,0,4038,32,43466.35,1,3,4,4,4,3,4,2,3,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1
1,3.823689744,6.716953195,10,2,1,1444,71,52616.27,3,3,5,3,2,4,2,4,2,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0
0,5.197446331,15.68043093,16,1,0,41733,47,55861.19,1,4,4,4,4,3,3,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
0,6.311709178,9.807530479,10,1,0,69,24,26282.4,6,5,5,4,3,3,3,3,3,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1
0,12.58298231,10.61217014,12,3,0,1130,79,51237.28,2,4,5,4,4,1,4,4,4,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1
1,4.799514433,4.539566699,8,2,0,1800,44,26130.78,3,4,4,2,3,3,4,5,5,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1
0,8.156552837,8.943293567,15,2,1,31859,35,54533.63,3,4,4,4,3,4,3,3,4,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
0,7.2310320279999996,11.64836306,11,0,1,20449,34,74679.84,2,4,3,3,3,4,5,4,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1,4.627672042,6.076260652,13,0,0,161,68,95028.57,2,3,3,3,3,4,3,3,3,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1
1,4.568682641,8.353693631,11,4,0,5846,32,9515.64,5,2,1,2,4,3,5,3,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1
1,8.574901206,2.310584634,14,1,0,25328,70,77531.43,1,2,3,2,4,4,2,1,3,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0
1,11.71637124,7.410590719,9,0,1,1076,26,32652.3,0,5,4,5,4,4,4,4,4,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0
1,7.006240694,14.62784306,17,2,0,2229,20,54895.16,4,6,5,5,3,6,4,4,4,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
0,5.905906389,10.50187888,13,0,0,15715,41,33858.66,1,5,5,4,3,5,4,4,4,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0
0,5.969967132,6.985590245,9,2,1,86926,39,20624.31,1,4,5,4,4,3,3,3,5,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1
0,14.85781115,10.44249511,13,1,0,15033,83,46154.17,0,3,4,4,1,3,4,4,4,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
0,19.48900163,12.81260566,10,1,0,3066,38,49277.48,0,4,4,4,5,2,4,4,3,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
0,7.34059599,17.56798903,14,2,0,207,44,14928.96,2,3,4,4,2,4,3,2,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
1,15.64596698,12.53830949,9,2,1,1579,67,12779.23,1,3,4,4,3,3,5,4,3,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
1,13.01107597,10.51043963,12,0,0,1469,42,77383.72,0,3,4,4,2,4,2,5,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,7.007695148,7.045552801,13,2,0,673,87,41531.03,0,5,4,3,4,4,4,3,4,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
1,2.964559883,13.41209586,11,3,0,1598,44,11518.58,4,2,2,1,5,3,4,4,3,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1
0,10.25635754,14.89835355,9,2,1,6658,33,31065.17,0,4,3,4,4,3,3,5,4,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0
1,17.72593456,9.580144161,13,4,0,1003,25,30664.56,0,2,3,3,4,3,4,5,4,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0
0,19.83504645,12.63643487,18,0,0,1028,75,13612.16,0,3,2,2,2,5,3,2,4,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1
0,15.94935291,11.08409914,10,2,1,44451,73,53019.98,2,4,4,3,2,5,3,2,4,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,4.95598008,9.84688181,11,0,0,1869,59,11301.4,1,4,5,4,4,3,4,3,4,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0
0,2.581692044,12.0772854,11,1,1,3378,46,45146.99,1,3,4,2,5,3,4,3,3,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,5.049303717,9.513085538,10,1,0,24438,35,52129.84,1,4,4,2,3,4,3,4,3,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
1,9.405224809,7.913676085,16,1,0,1083,40,99195.08,0,3,2,2,4,2,4,4,4,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1
0,23.12150846,11.17709222,12,0,2,2950,53,79993.43,0,3,3,3,3,3,3,3,2,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
0,12.73622643,7.799780591,13,1,0,5188,63,22466.53,2,5,4,4,2,5,2,4,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
1,15.28108311,9.321265424,14,0,0,2431,72,27235.54,0,4,4,2,4,5,3,3,6,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0
1,6.549035393,3.11231175,12,1,1,41839,47,75042.1,0,4,5,4,4,5,3,5,3,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1
1,10.57197066,8.284591121,8,1,0,16546,84,91001.1,7,3,2,1,3,5,3,3,6,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1
1,11.45675389,11.2714618,14,1,0,5981,24,48314.4,0,2,2,2,5,4,4,4,3,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0
0,11.77389421,12.76603868,8,2,1,617,49,27976.63,0,4,4,4,2,4,2,3,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,3.940297464,10.93514898,16,1,1,5148,60,11250.71,2,3,3,5,5,2,4,4,5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
0,12.75609778,12.29165611,11,0,1,703,26,41879.1,0,3,3,3,3,4,3,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,14.14101821,10.88047174,15,1,2,715,80,63095.62,1,3,3,3,3,4,2,4,4,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
0,4.216732972,8.124261532,12,3,0,20731,72,13583.35,0,3,4,5,3,5,2,4,3,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
0,7.661226872,10.11985468,11,0,0,38579,73,75866.75,1,4,5,4,2,4,3,3,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,12.4767812,5.863179258,16,0,0,3232,72,74061.48,3,4,5,3,5,2,6,5,4,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,11.74635394,8.702618087,11,0,0,1286,67,70174.11,4,3,3,4,5,3,4,3,4,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1
1,5.690013293,7.044096971,13,2,0,6910,79,25215.22,4,2,2,3,3,2,3,1,3,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0
1,3.365552603,11.19861363,10,0,0,307,80,46622.3,1,4,3,3,4,3,5,5,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1
0,9.001231999,9.518819692,11,3,0,35345,24,8507.97,7,5,4,3,2,3,3,4,2,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1
0,24.8868126,12.07226102,13,1,0,892,58,26005.77,1,2,3,3,3,3,3,4,2,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
0,17.6210362,16.26782621,14,0,0,5983,58,20204.74,0,3,3,2,5,4,3,5,3,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
1,3.045064701,13.60774223,6,2,1,4813,61,20811.42,3,3,3,2,3,4,3,3,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
1,15.35762157,6.02604588,11,2,0,11435,75,34474.39,0,1,2,2,3,4,2,2,2,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0
1,7.138784756,10.05990041,11,1,0,31845,81,11655.88,2,3,3,3,3,5,3,4,3,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1
0,9.797427154,10.48123205,17,0,0,8303,73,37149.4,1,7,6,5,5,2,6,4,4,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1
1,3.778575882,11.7174619,16,1,0,18731,22,9729.44,4,3,4,3,5,2,3,3,4,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
1,10.27819073,6.286550988,17,1,2,955,88,35891.67,1,4,3,4,5,2,3,2,4,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1
0,4.156887945,9.886595026,13,0,0,2338,25,20801.9,0,6,6,4,2,4,5,5,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
1,15.22323989,11.6443975,13,0,1,7699,40,6170.55,0,4,4,4,4,4,3,3,3,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
1,7.218752772,9.202197695,20,1,0,584,61,86453.08,7,3,2,4,5,2,3,3,4,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
0,16.52138638,16.41445271,13,1,0,1003,48,13148.09,4,4,4,4,5,2,4,4,4,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
1,2.522962069,4.874661522,17,0,0,2101,40,18895.18,1,3,3,4,3,3,3,3,5,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1
1,3.508974199,4.924368526,11,1,0,0,23,48852.54,1,4,4,4,3,3,5,4,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1
1,10.8600084,5.763454353,11,0,0,56959,27,59147.78,2,2,1,2,3,4,3,3,3,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
0,21.71097206,12.87091514,15,1,0,221,84,99519.26,3,2,2,2,4,4,4,4,3,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
1,4.991605214,5.236234219,12,1,0,1301,25,18402.27,2,4,3,2,4,3,3,2,2,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
0,5.440398012,7.565105658,10,0,0,25854,36,10466.23,1,3,4,3,4,4,3,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1,14.58066686,11.26553266,10,0,1,17576,18,101000.3,0,5,5,4,2,5,4,3,3,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
1,14.68600159,11.06361355,10,2,0,73,62,23165.82,2,2,3,4,3,3,2,3,2,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
0,5.709925704,11.38306511,11,3,0,4295,53,23413.1,7,4,4,4,3,4,4,3,3,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0,2.206152519,10.02701706,14,1,0,8819,29,9487.91,3,3,3,4,4,3,2,2,4,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
0,5.622660986,16.23914454,12,1,0,27454,34,47946.16,3,6,5,4,2,4,5,4,2,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1
1,10.06913982,8.90345193,14,0,1,2958,26,11249.18,0,4,5,3,2,4,2,5,3,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0
0,6.935335786,11.70304454,14,1,1,321,61,18684.74,0,4,5,3,4,4,4,4,5,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
0,12.75071284,5.21028807,8,0,0,361,49,78129.73,1,4,3,3,1,5,3,3,2,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0
0,10.15330548,7.766411994,10,0,0,12695,20,20314.7,2,3,3,4,4,3,4,5,3,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1
1,13.17859958,7.5140673079999996,15,2,0,168,59,59158.79,1,2,3,2,2,3,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
1,7.228526307,11.34885042,10,0,0,508,48,7681.82,3,2,2,3,5,2,3,3,5,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
0,20.43854626,11.81880212,13,0,1,719,29,17876.13,1,3,4,4,3,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
1,2.915827364,8.661233766,13,3,0,13892,62,21795.58,0,1,3,2,4,4,3,3,4,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
1,8.650238791,7.823058882,9,0,0,2604,25,50560.17,2,4,5,5,2,4,3,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
0,8.878536605,10.36003643,14,0,0,722,44,24202.12,0,2,3,3,7,1,3,4,3,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0
0,10.6312597,6.027816542,15,3,0,130,25,31159.95,4,5,5,5,4,3,4,4,2,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
0,3.564836875,10.4766784,11,0,0,31101,40,21654.51,1,4,4,2,2,5,3,3,3,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
1,7.349620762,9.133118524,7,0,0,2433,53,20957.58,0,3,3,3,5,4,3,5,4,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
1,7.073151031,10.43511467,11,0,0,1892,86,30142.44,0,4,5,3,5,3,4,4,5,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
1,8.054118994,12.33031848,16,1,1,5366,26,12924.08,3,5,4,5,4,2,5,3,4,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1
1,10.40161068,5.772344439,10,1,1,18829,52,86411.28,3,3,3,5,3,3,4,4,4,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1
1,4.902104964,13.40423523,11,0,0,1123,38,21806.2,0,4,3,2,4,4,4,3,4,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1
1,1.894776657,9.879567236,11,1,1,3067,23,28082.45,3,5,5,4,4,4,3,3,4,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0
0,5.204111135,7.329478649,10,2,0,1547,55,69662.99,3,3,4,5,4,3,3,4,4,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
0,20.01892414,7.006566848,14,3,0,949,28,35947.74,0,3,2,3,5,2,3,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,3.998433243,8.832305481,16,2,0,63318,84,25807.14,1,5,5,5,5,3,4,4,6,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,5.884557067,9.877572075,7,1,2,1110,26,15518.51,4,5,5,4,4,3,5,5,4,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0
1,7.21126107,11.62322378,14,0,0,1627,50,30944.95,2,3,3,3,3,4,3,4,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
1,11.85998919,6.860771245,5,0,0,30975,37,24903.99,4,4,4,5,3,5,3,3,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
0,17.28022598,8.941096681,14,2,0,20696,66,15253.93,4,3,4,4,3,4,3,4,4,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
0,7.737353244,12.27450189,15,0,0,2878,71,26164.5,1,3,3,2,3,3,3,5,5,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
1,3.484000437,5.702833154,16,2,1,4278,51,27537.94,0,2,3,3,2,6,2,2,2,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1
0,6.143856241,11.88831901,17,3,0,501,34,37552.96,2,5,5,4,1,5,3,5,5,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
0,3.905351198,12.13559132,7,0,1,646,18,37860.79,0,4,4,3,4,3,4,4,6,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1
1,19.17821675,13.26508243,13,1,1,4406,81,11455.64,2,5,6,6,5,4,5,6,5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
0,12.36979696,11.98809409,15,2,1,1166,55,22322.51,0,3,2,2,3,4,3,3,4,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
1,3.769989038,8.157170567,12,1,0,2885,80,61436.18,0,4,4,4,5,3,4,4,5,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
1,24.39432985,9.435961177,9,1,0,471,44,36699.84,4,4,5,5,4,3,5,4,5,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1
0,1.042140757,10.271224459999999,10,0,0,11908,47,58297.91,4,4,4,4,4,3,4,4,4,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0
1,2.768037617,9.417040882,14,1,0,30,28,18410.16,1,5,4,4,5,3,4,4,4,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
0,6.357562637,11.00921312,8,1,0,44647,81,85742.06,1,3,4,3,4,3,4,5,3,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
0,6.90648504,14.40659587,10,1,0,1437,77,20485.31,1,2,3,3,5,2,2,2,2,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1
1,20.75499393,8.497807171,16,0,0,699,47,60415.32,1,5,4,5,3,4,4,3,5,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1
0,9.75910234,12.07745494,13,1,1,46,73,54937.5,0,4,3,4,3,3,3,3,3,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
0,17.80378998,13.9772991,12,3,1,0,42,25670.71,2,3,4,3,3,4,4,4,4,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
0,10.8040205,8.361906963,14,0,0,145,42,39087.76,7,2,3,3,3,3,2,3,2,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1
1,12.84120976,7.275899757,15,1,0,18579,36,12145.97,7,4,3,4,5,3,5,4,6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1
1,10.49916723,6.913368813,9,1,1,29599,38,68180.35,4,4,4,5,3,2,5,6,4,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1
0,11.84987964,11.03086435,14,2,0,2596,20,19474.37,0,5,5,4,3,3,4,5,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
0,5.156978882,12.71080854,12,1,1,282,24,68647.24,0,3,3,2,2,3,3,3,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
0,10.35063785,7.530481623,17,1,1,5360,50,82226.63,0,2,3,4,3,5,1,3,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,14.71592037,7.373007212,13,0,1,93,64,8864.63,0,5,5,4,3,4,4,4,4,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,11.703478520000001,12.1362412,11,2,1,1641,52,38311.94,3,3,3,2,4,4,2,2,3,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
1,7.439569893,14.19955362,8,1,0,376,36,16778.35,0,2,3,3,4,3,2,4,3,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1
0,2.282601557,8.433181103,16,2,1,52299,55,88666.42,2,3,1,4,3,3,3,5,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
1,7.677648117,9.981655957,13,0,0,583,43,91141.18,2,4,3,3,2,5,3,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
0,3.293435643,13.88702214,12,2,1,3381,55,44493.49,0,4,3,3,4,2,3,3,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0
0,5.711646401,9.039378259,13,1,0,30377,89,13756.31,4,4,4,4,4,3,3,3,4,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1
0,4.603347641,12.46342441,15,1,0,1839,58,30300.58,3,2,3,2,5,3,4,3,4,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1
0,9.07068647,9.624347659,7,2,1,39384,88,11391.26,1,3,4,3,5,4,4,3,2,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1
0,9.322934248,12.0778957,8,0,0,14795,70,31138.29,0,4,5,3,4,3,3,5,4,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
0,5.310878954,10.4673283,14,1,0,2789,83,29470.61,0,3,3,2,3,2,5,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1
1,12.55438733,10.80087066,13,2,0,1454,33,4297.28,1,3,3,3,3,4,3,4,5,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1,8.063547235,10.4009592,13,0,1,1130,20,20433.9,2,5,4,6,4,3,5,3,5,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1
0,11.95255483,6.479792672,13,0,0,6366,73,29249.18,0,4,4,4,3,5,4,3,4,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1
0,4.455386749,7.450205641,14,0,0,0,42,29345.58,2,3,3,4,3,2,4,4,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,12.00858052,10.13650144,7,0,0,28558,80,10670.46,2,4,3,4,4,2,3,4,4,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0
1,24.19132114,10.39942085,14,0,1,33168,82,12482.52,4,4,4,3,4,1,5,4,4,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1
1,3.831221517,9.746705702,15,0,1,845,84,87580.83,0,4,5,4,2,2,4,6,2,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1
0,11.08306586,12.19720019,12,0,0,1499,45,24608.16,2,3,2,3,3,4,3,3,3,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1
0,7.48578642,14.34937361,13,1,0,353,20,32011.39,1,2,2,2,2,3,3,2,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
1,7.542749465,9.812128627,15,1,1,4711,79,14715.35,1,3,3,4,5,4,4,4,3,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0
1,6.28842083,13.9416954,11,0,0,945,19,45181.91,1,4,2,4,4,3,3,5,5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
1,1.532973151,10.13282402,11,0,0,24416,47,51909.42,0,2,2,2,3,3,2,2,2,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0
0,9.073819276,16.16759956,9,2,0,1028,24,34292.78,2,2,4,2,3,2,4,2,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
1,19.76529476,7.637291768,12,2,0,92,65,28056.39,0,4,4,3,5,4,3,3,4,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1
0,17.71637154,7.335113752,14,1,0,1029,43,6169.09,1,4,4,4,4,4,4,3,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1
0,10.81273093,8.588524095,11,2,1,5924,65,12476.49,4,2,1,1,2,5,2,3,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0
