Churn,Children,Income,Outage_sec_perweek,Yearly_equip_failure,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,InternetService_DSL,InternetService_Fiber_Optic,Gender_Female,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Contract_Monthly,Contract_One_Year
0,0,52636.6,7.903964267,1,1,1,1,0,0,0,1,0,0,12.24190682,1,0,0,0,0,0,1,1,0
1,1,19048.13,11.27443693,1,1,0,0,0,1,0,1,1,1,2.203859443,1,0,1,0,0,0,1,1,0
1,4,42784.82,6.129509309,0,1,0,1,1,0,1,1,1,0,23.92132231,0,0,1,0,1,0,0,0,1
1,0,77996.88,7.969277912,0,1,1,0,1,0,1,1,1,1,3.7311787,1,0,0,1,0,0,0,0,1
0,3,47507.3,4.368120492,0,1,0,0,1,0,0,0,0,1,7.980015371,0,1,1,0,1,0,0,0,0
1,3,7724.73,6.258356398,1,1,0,0,1,1,1,1,1,1,9.190009376,0,1,0,1,0,0,0,1,0
1,1,1509.52,12.92303286,0,1,1,0,1,1,0,0,1,0,2.378630018,0,1,0,0,0,1,0,1,0
1,2,81124.71,12.43301273,0,1,1,1,1,1,1,1,1,1,5.43464555,1,0,1,0,1,0,0,0,1
1,4,11795.57,7.607663559,0,0,0,0,0,1,1,1,1,1,1.092361222,0,0,1,0,0,0,0,0,0
0,1,74794.84,7.442789019,1,1,0,0,1,0,0,0,1,0,20.13981517,1,0,0,0,0,1,0,0,0
1,1,19038.78,13.04429298,0,1,1,0,0,0,0,1,1,1,24.64873861,0,1,1,0,0,1,0,1,0
0,0,79167.77,14.89762162,0,1,0,1,0,1,0,0,0,1,9.677739656,0,1,0,1,0,0,0,1,0
1,1,37428.26,13.79387475,1,1,0,0,0,0,0,1,1,0,9.82814183,1,0,1,0,1,0,0,0,1
0,0,45148.38,15.66367593,0,1,1,0,0,1,1,0,0,0,7.832238337,0,1,0,1,0,0,0,1,0
0,5,74855.47,8.513410306,0,1,1,0,0,0,1,0,1,0,19.45250317,0,1,1,0,0,0,1,0,0
0,4,45323.86,8.265002035,0,1,0,1,0,1,1,0,0,1,14.34766616,1,0,0,1,0,0,0,1,0
0,0,10389.95,6.03993035,0,1,0,1,0,0,0,1,0,1,2.358129018,0,1,0,0,0,1,0,0,1
0,3,19657.14,14.6040829,0,1,0,0,1,0,1,0,0,1,4.650578623,0,0,0,0,0,0,0,1,0
1,0,27827.03,7.274007029,1,1,1,0,0,0,0,1,1,0,3.721772616,0,0,1,1,0,0,0,1,0
1,4,15609.05,8.913898759,0,1,0,0,0,0,0,1,1,1,3.76663012,1,0,1,0,0,0,1,1,0
1,2,15841.19,6.942719201,1,1,1,0,1,1,0,0,0,0,19.75096265,1,0,0,0,0,1,0,0,0
1,0,24270.88,11.0596826,0,1,0,1,1,1,0,1,1,1,4.672610857,0,1,1,1,0,0,0,1,0
0,0,54466.33,8.834079073,1,1,0,0,0,1,0,0,0,0,6.796299371,0,1,1,0,1,0,0,1,0
0,5,103311.26,9.394961367,0,1,0,1,1,1,1,0,0,1,20.31163945,0,1,0,0,0,1,0,1,0
1,0,58077.38,10.68311773,1,0,0,0,1,1,1,1,1,1,14.46288204,0,0,0,0,0,0,1,1,0
1,0,23289.77,12.40165307,0,1,1,0,0,1,0,1,1,1,2.542296644,0,0,1,1,0,0,0,1,0
0,2,49158.49,10.24782033,0,1,0,0,1,0,0,0,1,1,17.22596021,0,1,0,0,0,0,1,0,0
1,0,3805.84,14.86100819,2,0,1,0,1,1,0,1,0,1,22.79214163,0,1,0,1,0,0,0,1,0
1,3,30550.42,8.124258176,0,1,1,1,1,0,0,1,1,0,10.77094687,1,0,1,0,0,0,0,1,0
1,2,12154.01,14.60903837,2,1,1,0,1,0,1,1,0,1,13.08671185,0,0,0,1,0,0,0,1,0
1,0,30649.31,12.65015936,2,0,1,0,0,0,1,0,1,0,14.76468813,1,0,0,0,1,0,0,1,0
1,3,31417.33,12.0281501,0,1,1,0,0,1,1,1,0,1,9.473091121,0,1,0,0,1,0,0,1,0
1,1,9044.26,11.30421466,1,1,1,0,0,1,0,0,1,1,6.577552683,0,1,1,0,0,0,0,0,0
1,0,25381.66,10.26646787,0,1,0,0,0,0,1,0,1,0,3.174571918,0,1,1,0,0,1,0,1,0
0,1,65064.31,7.56618217,0,1,0,0,0,0,0,0,0,1,17.88002366,0,1,0,0,0,0,0,1,0
1,0,12527.51,10.40677369,0,1,0,1,1,0,1,1,0,1,13.12190056,0,1,0,1,0,0,0,1,0
0,0,35499.06,7.146124361,0,1,0,1,1,0,0,1,0,0,23.34617699,0,1,1,1,0,0,0,1,0
1,3,64222.21,5.785085772,1,1,0,0,0,0,0,0,1,0,7.120096363,1,0,0,0,1,0,0,1,0
1,0,11014.98,9.062879297,0,1,0,0,1,0,1,1,1,0,9.344886869,0,0,0,1,0,0,0,0,0
0,4,21172.49,16.54443477,0,1,1,0,1,0,0,0,0,1,22.37815032,1,0,1,1,0,0,0,0,0
0,1,36478.21,7.251198724,0,1,0,0,1,0,1,0,0,1,10.04672315,0,0,0,0,0,0,0,1,0
0,2,37103.18,12.57884215,1,1,1,0,0,1,0,1,0,0,7.992791229,0,0,1,0,0,0,1,0,0
0,0,34281.1,11.75681641,0,0,1,0,1,1,1,0,0,0,10.05306287,1,0,0,0,0,1,0,0,0
0,0,36240.81,9.173739977,1,1,0,1,0,1,1,0,0,0,4.171044392,1,0,0,0,0,0,1,0,0
1,3,87354.99,5.290318715,0,1,1,0,0,1,0,1,1,1,9.743201772,0,1,0,1,0,0,0,1,0
0,2,76567.85,5.258274954,0,1,0,0,0,0,0,0,0,1,9.482919033,0,1,0,0,0,0,1,1,0
0,1,30663.52,7.157580014,0,1,1,0,1,1,0,0,0,1,8.447988841,0,1,0,0,1,0,0,0,0
0,1,31600.92,4.978546291,0,1,1,0,1,1,1,1,0,1,7.251397592,1,0,0,0,0,0,0,0,1
1,4,74638.78,6.547676875,1,0,1,1,0,1,0,1,1,1,14.64011644,0,1,1,0,0,1,0,0,1
0,4,63650.54,11.39765385,1,1,1,0,0,1,1,0,0,1,4.13273503,0,1,1,1,0,0,0,0,0
1,1,28622.6,11.29945603,0,1,1,0,1,0,0,1,0,1,2.887429547,0,1,1,0,0,0,0,1,0
0,3,50252.79,11.30748265,2,1,0,0,1,1,0,0,1,0,3.303030246,0,1,0,0,0,1,0,1,0
0,3,19800.81,10.31551212,1,1,0,0,0,1,0,0,1,0,5.15825129,1,0,0,1,0,0,0,0,1
1,1,48715.53,11.9664542,0,1,0,0,1,0,1,1,1,1,3.180102025,0,0,0,1,0,0,0,0,0
0,1,23204.98,10.18046877,0,0,0,0,0,0,1,0,0,1,15.85983755,1,0,0,1,0,0,0,0,0
1,1,35302.52,14.01485542,1,1,1,0,1,0,0,1,1,0,11.73724209,0,1,0,0,0,0,1,1,0
1,2,60398.06,10.90517581,0,1,1,1,0,0,1,0,1,0,5.562130367,1,0,1,0,0,1,0,0,1
0,2,8115.88,8.894475174,1,1,0,0,0,0,1,1,1,1,14.53027663,0,1,1,0,0,1,0,0,1
1,3,29950.47,12.34250072,1,1,1,1,1,0,0,0,1,1,3.260462654,1,0,1,0,1,0,0,1,0
0,4,49421.69,10.29380879,0,1,1,1,1,1,0,0,1,1,18.91276578,0,1,0,0,0,0,1,0,1
0,1,11061.05,8.512650562,1,1,0,0,0,0,1,1,1,0,14.25617986,0,1,1,0,1,0,0,0,0
1,0,15388.32,7.82671592,2,1,0,0,0,0,1,1,1,1,7.983887266,0,0,1,0,0,0,1,0,1
1,0,47877.81,11.40449185,0,1,1,0,0,1,0,1,1,1,19.95277818,0,1,0,0,1,0,0,0,0
1,3,10403.59,10.68024546,1,1,1,0,0,1,0,1,0,1,11.92299244,0,1,1,0,1,0,0,1,0
0,3,22412.6,10.62439366,0,1,0,0,1,0,0,1,0,1,5.972864167,1,0,1,0,1,0,0,0,0
1,6,19476.27,10.91642397,0,1,0,0,0,1,1,1,1,0,10.87555535,0,0,1,0,0,0,0,0,0
1,3,96382.76,8.580626195,0,1,0,1,0,1,1,1,1,0,16.00330155,0,0,0,0,1,0,0,0,0
0,1,28022.56,8.996933306,1,1,0,0,0,0,1,0,1,0,12.63074989,0,1,1,1,0,0,0,0,0
0,1,35478.4,7.602570192,0,1,0,0,0,0,1,1,0,1,8.4944392,0,1,1,0,1,0,0,1,0
0,3,87537.25,9.591529444,1,1,1,0,0,0,1,0,0,0,12.07358377,1,0,0,1,0,0,0,0,0
1,4,34112.1,13.36027908,0,1,0,0,0,1,0,1,1,1,10.21634248,0,0,0,0,0,1,0,0,1
1,0,32653.51,4.372034777,0,1,1,1,0,1,0,1,0,0,15.50354683,1,0,0,0,1,0,0,1,0
1,0,37297.82,3.767298987,0,1,1,0,1,0,1,1,0,0,10.01771765,0,1,1,0,0,0,0,0,0
1,3,24702.68,11.2369761,2,1,0,0,0,1,1,1,0,0,12.64742067,0,1,1,1,0,0,0,1,0
0,1,87535.71,8.54892416,1,1,0,1,0,0,0,1,0,0,8.850426839,1,0,0,1,0,0,0,0,0
1,6,63166.87,6.094109902,0,1,0,0,0,0,0,1,1,0,3.701557118,0,1,1,1,0,0,0,0,1
0,4,11856.81,13.9077275,0,1,1,0,1,1,1,0,1,1,2.976033785,0,0,1,0,0,0,1,0,1
0,0,27326.79,7.905333122,0,1,0,1,1,1,0,1,0,1,5.522376826,0,1,0,0,0,0,0,0,0
1,4,25519.91,12.8219418,1,1,1,0,0,0,0,1,1,1,23.00764441,0,1,0,0,0,1,0,1,0
0,7,46871.21,8.941553742,0,1,0,0,1,1,1,0,0,1,17.24924155,1,0,0,1,0,0,0,0,1
1,1,47395.3,11.86384439,0,1,1,1,1,1,1,0,1,1,5.104082209,1,0,1,1,0,0,0,0,0
0,2,90977.74,10.76051016,0,1,1,0,1,0,0,0,0,0,3.521499924,1,0,1,0,0,0,0,0,0
1,1,47726.25,8.174495258,0,1,0,1,1,1,0,0,1,1,1.875430489,0,0,1,0,0,0,1,1,0
0,1,51721.64,10.05388383,0,1,0,0,0,0,0,0,0,0,5.587484456,0,0,1,0,0,1,0,0,1
0,0,33504.8,8.957297136,0,1,0,0,0,0,0,1,0,1,1.408375942,1,0,1,1,0,0,0,0,1
1,0,32097.17,13.62135046,1,1,1,0,1,0,0,0,1,1,3.892407013,0,1,1,0,0,0,0,1,0
1,1,23424.88,14.95912113,1,1,0,1,0,0,0,1,1,0,3.226996711,0,1,0,0,0,1,0,0,0
0,1,35988.24,11.741245,0,1,0,1,1,0,0,0,1,0,15.87685513,0,0,1,0,0,0,1,0,1
0,4,35539.7,7.765121655,1,1,0,0,0,1,0,0,1,0,5.874064017,1,0,0,0,0,1,0,0,0
0,1,27959.34,7.130431693,0,1,0,0,0,0,0,1,0,1,3.756359276,0,1,0,0,0,0,1,1,0
0,6,52232.97,8.359515606,0,1,0,0,1,0,0,0,0,0,2.905283283,0,0,1,0,0,0,0,1,0
1,1,18198.59,9.42799205,0,1,1,0,0,1,0,1,1,1,1.474810061,0,1,0,0,0,1,0,1,0
1,0,16851.94,10.95510131,1,1,1,0,1,1,1,0,1,1,18.56165869,0,0,0,0,0,0,0,1,0
1,1,16440.05,10.8621377,0,1,1,0,1,0,0,1,1,0,12.39088509,1,0,0,0,0,1,0,1,0
0,3,44223.58,7.352533505,0,1,0,0,1,0,0,1,0,0,14.17192333,0,0,1,0,0,0,0,1,0
0,0,33343.73,11.38860234,0,1,0,1,1,0,0,1,0,1,3.86023041,0,0,0,0,0,0,0,0,0
0,0,31934.04,10.79191234,0,1,0,1,1,1,0,1,0,1,3.043063167,0,1,0,1,0,0,0,1,0
0,1,26676.4,9.982341124,0,1,1,0,0,0,0,1,0,0,5.827112819,0,1,1,0,0,0,0,0,1
1,1,67211.95,6.511921085,1,1,1,1,0,1,0,0,1,0,4.648958177,0,0,0,0,0,1,0,1,0
0,2,31136.77,10.70500472,0,1,0,1,0,0,0,1,0,1,11.96274778,1,0,1,0,0,0,0,1,0
0,5,40660.84,11.58410296,1,0,0,0,0,0,0,1,0,0,4.525864256,0,1,0,0,0,0,0,1,0
0,0,10606.59,8.01651453,1,1,1,1,1,0,1,1,0,0,8.038308899,0,1,1,1,0,0,0,0,0
0,3,92447.71,15.12148226,0,1,1,1,1,0,0,0,0,1,1.416592892,1,0,1,1,0,0,0,0,1
1,3,13765.39,16.68178185,0,0,1,0,0,1,0,1,1,1,15.85002222,1,0,1,0,0,0,0,1,0
0,0,42523.02,12.99948061,1,1,1,0,0,0,1,0,0,1,11.94550648,1,0,0,0,0,0,1,1,0
0,5,19097.94,7.369412654,1,1,1,0,0,0,0,0,0,0,21.29342532,1,0,1,0,0,0,0,0,0
1,1,22533.05,13.53989069,1,0,0,1,1,1,0,1,1,0,4.973046104,0,1,1,0,0,0,0,0,1
1,3,19974.4,5.458806701,0,1,1,1,0,1,0,1,1,0,10.28430068,0,1,1,0,0,1,0,1,0
1,3,10330.1,6.918984305,0,1,1,0,0,0,0,0,1,0,6.945736396,1,0,0,0,1,0,0,1,0
0,0,15281.28,14.84155042,0,1,1,1,0,0,1,0,0,1,9.999416271,1,0,0,0,0,1,0,1,0
1,1,11217.96,12.66717474,0,1,1,0,0,0,0,0,1,0,6.035737465,0,1,0,1,0,0,0,1,0
0,1,17516,11.43786808,1,0,0,0,1,1,0,0,0,1,9.004964377,1,0,1,0,0,0,1,1,0
1,2,20566.64,6.915228797,0,1,1,0,0,1,0,1,1,0,5.071456681,1,0,1,0,1,0,0,0,1
1,1,36128.68,11.30215199,1,1,1,1,1,1,1,0,0,1,12.02106494,0,1,0,0,1,0,0,1,0
0,1,25985.06,9.497106973,0,1,0,1,0,0,0,0,1,0,18.17247008,0,1,1,0,0,1,0,0,0
1,1,10909.79,12.21852573,0,1,1,0,0,0,0,1,1,1,15.31997698,1,0,1,0,0,0,0,0,0
0,1,41151.14,8.272244827,0,1,1,0,0,1,0,0,0,0,16.0708543,0,1,1,1,0,0,0,1,0
0,4,64063.23,10.24857935,0,1,0,0,0,0,1,0,1,0,7.873371451,0,0,1,0,1,0,0,0,0
0,1,20414.07,6.743431946,1,1,0,0,1,1,0,1,0,1,23.62866494,0,0,1,0,0,1,0,0,0
1,0,41412.1,12.4703522,0,1,1,0,1,1,0,1,1,1,25.8634566,1,0,0,0,0,0,0,1,0
0,0,18408.94,9.362849722,0,1,1,0,1,0,1,0,0,1,12.84490034,0,1,1,0,1,0,0,1,0
1,3,15930.45,17.41324465,1,0,1,0,0,1,1,1,0,1,16.59325254,1,0,0,0,0,0,1,1,0
0,0,25611.29,13.43700846,0,1,0,0,0,0,0,1,1,0,20.35456039,1,0,0,1,0,0,0,1,0
0,4,9428.86,11.95206054,1,1,0,0,1,0,0,0,1,1,12.00925702,0,1,1,1,0,0,0,1,0
0,1,3810.16,4.550449856,1,1,1,1,0,0,0,0,0,0,2.861423443,0,0,1,0,0,1,0,1,0
1,1,51992.79,10.2863601,1,1,0,0,0,0,0,1,1,1,4.98152586,0,1,1,0,1,0,0,1,0
0,0,37706.85,14.12145884,0,1,0,0,0,0,1,1,1,1,6.307178205,1,0,0,0,0,0,0,0,0
0,4,16608.27,7.122072827,0,1,1,0,1,0,0,0,0,0,12.00466914,0,0,1,0,1,0,0,0,0
0,2,25146.14,9.329902365,0,1,0,0,0,0,0,0,1,0,2.243757398,0,1,0,1,0,0,0,0,1
0,2,58882.35,7.509389052,0,1,1,1,0,1,1,1,0,0,1.583394702,0,1,0,1,0,0,0,0,1
0,4,31809.46,15.06990851,0,1,1,1,1,1,1,0,0,1,14.23487852,0,0,1,0,0,1,0,0,1
1,3,70476.82,3.564651961,0,1,1,0,1,0,1,0,0,0,4.135827839,1,0,0,0,1,0,0,1,0
1,0,49396.09,7.779622319,0,0,0,1,0,1,0,1,1,1,9.740709475,0,0,0,0,0,0,0,1,0
1,6,35060.94,10.74985413,1,1,0,1,0,1,0,1,1,0,1.213704886,1,0,1,0,0,1,0,0,0
0,0,66055.53,7.738373361,0,1,0,0,1,0,0,0,0,1,11.86252419,0,1,1,1,0,0,0,1,0
0,7,91335.76,12.01267388,0,1,0,1,1,1,1,0,0,1,2.416685985,1,0,0,0,0,0,0,0,1
0,3,54349.75,14.04748759,1,1,0,0,1,1,0,0,0,1,6.73327535,0,0,0,0,0,0,0,1,0
1,4,44426.28,6.269792565,0,0,1,0,1,0,0,0,1,1,3.379756569,0,1,0,0,0,0,0,1,0
0,0,63284.16,9.803905459,1,1,1,0,0,0,1,0,0,1,8.959047529,0,0,1,1,0,0,0,0,0
0,3,14039.21,8.571019738,0,1,1,0,0,1,1,1,0,0,10.23679934,1,0,0,0,0,0,0,0,0
1,0,12453.24,10.00344746,1,0,0,1,1,1,0,1,1,1,14.96503088,1,0,0,1,0,0,0,1,0
1,1,15934.12,4.255224068,1,1,1,0,1,1,0,1,1,0,23.79323993,0,1,1,0,0,1,0,0,1
1,4,5511.77,8.477982632,0,1,0,1,0,0,0,1,1,0,11.04076215,0,0,0,0,1,0,0,1,0
1,3,10701.11,9.753145376,1,0,1,0,0,0,0,1,1,0,7.425503428,1,0,1,0,0,1,0,1,0
1,1,10767.15,14.57387887,0,1,1,1,1,1,1,0,1,1,2.411712843,0,0,0,1,0,0,0,0,1
0,4,13493.63,13.134415539999999,1,1,1,1,0,0,1,0,1,0,2.009542213,0,1,1,0,0,0,1,0,1
1,0,25071.58,11.62771397,0,1,0,0,0,0,0,1,1,1,9.068119482,0,0,0,0,0,0,1,1,0
1,0,368.5,6.114030983,1,1,1,1,0,0,0,0,0,0,1.926789854,0,1,0,0,0,1,0,1,0
0,0,56154.5,6.348897952,0,1,1,0,0,1,0,0,0,0,2.585228303,0,1,1,0,1,0,0,0,1
0,0,62145.59,16.10939031,1,1,1,1,0,0,1,1,1,1,9.517703088,0,1,1,0,0,0,0,0,1
0,1,6517.94,7.151598137,0,1,0,0,0,0,0,1,0,1,9.532523799,0,1,1,0,1,0,0,0,0
0,1,19090.03,4.575363954,0,1,0,1,0,1,1,1,1,1,23.103996,0,1,0,0,0,1,0,1,0
1,0,13194.33,13.42263904,0,1,0,0,1,0,1,0,0,1,5.104873611,0,1,0,1,0,0,0,1,0
1,2,63963.36,3.559550725,0,1,1,0,0,1,0,1,1,0,6.877942744,1,0,1,0,1,0,0,1,0
1,1,34447.89,5.971214226,0,1,0,0,0,0,0,1,0,1,21.17839683,0,1,0,0,1,0,0,0,1
0,2,36315.29,7.287197615,0,1,0,0,0,0,1,1,0,1,1.586331702,1,0,1,0,0,0,1,1,0
1,0,5009.07,11.30031859,0,1,1,1,0,0,0,1,1,1,3.778174405,0,1,1,1,0,0,0,1,0
1,1,14202.72,10.26519974,0,1,0,0,0,0,0,1,1,0,11.58276897,1,0,1,0,0,1,0,1,0
0,1,36453.31,10.96553586,0,1,1,0,0,0,1,0,1,1,20.78013031,0,0,0,1,0,0,0,0,1
0,0,65951.35,2.98020454,0,1,0,0,0,1,1,0,0,1,11.38099891,0,1,1,0,0,0,1,1,0
1,0,17080.57,10.32744663,1,1,1,1,1,1,1,0,1,1,6.253919786,1,0,1,1,0,0,0,0,0
0,2,68122.23,9.22949351,0,1,1,1,1,0,0,0,0,1,18.9537053,0,1,1,0,0,0,1,0,1
0,2,39468.79,10.02758972,1,1,1,1,1,0,1,0,1,1,9.640061615,1,0,1,0,0,0,0,0,0
1,1,84301.44,10.97274944,1,1,1,0,1,1,1,0,1,1,12.42120946,1,0,0,0,0,0,1,1,0
0,2,42469.81,11.87042081,0,1,1,1,0,1,0,0,0,1,8.134438503,0,1,0,0,0,1,0,1,0
0,0,75458.79,9.531063533,0,1,1,1,0,0,0,0,0,1,14.86764776,0,1,1,0,0,0,1,0,0
0,3,60345.9,8.798065013,0,1,0,0,0,1,0,0,1,1,5.548652108,0,0,0,0,0,1,0,0,0
0,4,76066.77,15.27146446,1,1,0,0,1,1,0,1,0,0,18.35541838,0,0,0,0,0,0,1,1,0
1,2,42755.27,7.014445177,1,1,0,0,0,1,0,1,1,1,7.62779591,0,1,1,1,0,0,0,1,0
0,5,76874.25,10.62019312,0,1,1,0,1,0,1,0,1,0,4.439685675,0,1,0,0,0,0,0,0,1
0,1,41075.64,10.04585562,1,1,0,0,0,1,1,0,1,0,11.16903388,0,0,1,0,0,0,0,0,1
1,4,82131.87,9.975481565,0,1,1,0,1,0,0,0,1,1,3.212400569,0,1,1,0,0,0,1,0,0
0,2,28502.33,7.248946018,2,1,0,0,0,1,1,0,1,1,16.84928353,0,1,0,1,0,0,0,1,0
1,4,9450.84,9.53003591,1,1,1,0,0,0,0,1,0,1,3.834727471,0,0,0,0,0,0,1,1,0
0,1,44977.06,6.592317798,0,1,0,0,0,0,0,1,0,0,6.198230305,0,0,0,0,1,0,0,0,0
0,0,42093.64,11.44655577,0,0,0,0,0,1,1,0,1,1,4.355064781,0,0,0,0,1,0,0,0,1
0,3,55398.87,10.1755818,0,1,0,1,0,1,1,1,0,1,4.030250374,1,0,0,0,0,0,0,0,0
0,0,22362.59,13.7362126,2,1,0,0,1,1,0,0,0,1,9.915959247,0,0,1,0,0,1,0,0,1
1,0,40271.47,13.93422217,0,1,1,1,1,0,0,0,1,1,9.821728297,0,0,0,0,1,0,0,1,0
0,0,56178.63,3.405050602,0,1,0,0,0,1,0,0,0,0,9.183905417,0,1,0,1,0,0,0,1,0
