Customer_id,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
C73741,DSL,Yes,No,No,No,No,No,Yes,Yes
W258972,Fiber Optic,Yes,No,No,Yes,No,No,No,No
G491883,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes
C302549,DSL,No,No,No,Yes,Yes,No,Yes,Yes
K581313,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes
T46150,DSL,Yes,Yes,No,Yes,Yes,No,No,No
B260505,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes
W877056,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes
M478246,Fiber Optic,Yes,No,No,No,Yes,No,No,No
N417817,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No
R180138,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No
N931384,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No
O967373,None,No,No,No,Yes,Yes,Yes,Yes,Yes
G695985,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No
P33478,None,Yes,Yes,No,No,Yes,No,Yes,Yes
K100436,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes
L475907,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No
A78095,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No
X742990,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P347346,None,Yes,Yes,No,Yes,No,Yes,Yes,No
O235183,DSL,No,Yes,No,No,No,Yes,No,Yes
R776311,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No
C25146,Fiber Optic,Yes,No,No,No,No,No,Yes,No
E722502,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes
D515341,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes
U972291,Fiber Optic,Yes,No,No,No,No,No,No,No
N374641,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No
R736057,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No
K401117,DSL,Yes,Yes,No,No,Yes,No,No,No
O17401,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
E779833,DSL,Yes,No,No,No,No,No,No,Yes
Q527077,None,Yes,No,No,Yes,No,Yes,Yes,Yes
Q765651,DSL,Yes,Yes,No,Yes,No,No,No,No
W400552,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes
S979985,None,Yes,No,No,Yes,No,Yes,No,No
E351590,None,Yes,No,No,No,Yes,No,Yes,Yes
J227824,None,Yes,Yes,No,No,Yes,No,Yes,No
S136858,DSL,Yes,Yes,No,No,No,No,No,No
N883325,None,Yes,Yes,No,No,Yes,No,Yes,Yes
U700981,DSL,No,Yes,No,Yes,Yes,Yes,No,No
X267853,DSL,Yes,No,Yes,No,Yes,Yes,No,No
S985225,None,Yes,Yes,No,No,Yes,No,Yes,Yes
X645702,DSL,Yes,No,No,No,Yes,No,No,Yes
I703479,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes
S370452,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No
D333249,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes
O698848,Fiber Optic,Yes,No,No,No,No,No,No,No
M248356,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No
E759213,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes
G106476,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No
D873414,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,Yes
X906302,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No
Z245249,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No
T30358,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No
K974027,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes
R464272,DSL,Yes,No,No,No,Yes,No,No,Yes
Q541158,None,Yes,No,No,Yes,No,No,No,Yes
O707075,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No
L229402,None,Yes,No,No,Yes,No,Yes,Yes,Yes
Y259927,DSL,No,No,No,No,No,Yes,No,No
G820541,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes
F672614,None,Yes,No,Yes,Yes,No,Yes,No,Yes
L686627,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes
T660448,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes
G864898,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No
V847401,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes
X852253,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes
M482085,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes
L535753,None,Yes,No,No,No,No,Yes,Yes,Yes
K265986,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No
C695447,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes
T484755,None,Yes,No,Yes,Yes,Yes,Yes,No,No
X999392,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes
N995093,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No
D478815,DSL,Yes,No,No,Yes,No,No,Yes,No
I338069,None,Yes,No,No,No,Yes,Yes,Yes,Yes
T278739,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes
R857699,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes
Q386914,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No
T132275,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes
T392167,DSL,Yes,Yes,No,No,No,Yes,No,No
J315269,None,Yes,No,No,No,Yes,No,Yes,Yes
B124449,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No
P954849,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes
K20948,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No
M893176,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No
P765785,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No
X780945,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No
H776847,DSL,Yes,No,Yes,No,No,No,Yes,No
A471876,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes
B424659,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F111037,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No
S690107,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes
Q991854,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes
U560834,DSL,Yes,No,No,Yes,Yes,Yes,No,No
P452772,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes
B949126,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
F697244,DSL,Yes,Yes,No,Yes,No,No,No,No
F501848,DSL,Yes,No,Yes,No,Yes,No,No,No
Q971369,None,Yes,No,Yes,Yes,Yes,No,No,Yes
W186069,None,Yes,No,No,No,No,No,No,No
Y292243,DSL,Yes,No,Yes,No,Yes,No,No,Yes
F333860,DSL,Yes,No,No,No,No,No,Yes,No
Z534243,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes
O249806,DSL,Yes,No,Yes,Yes,No,No,No,Yes
V143753,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No
A715491,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes
D986940,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Yes
Z147347,None,Yes,No,Yes,Yes,No,No,No,Yes
W830673,DSL,Yes,No,No,No,Yes,No,No,Yes
Q470894,Fiber Optic,Yes,No,No,No,No,No,Yes,No
I584048,None,Yes,No,No,Yes,No,No,No,No
J779175,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes
O82369,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes
U528986,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes
K33780,None,Yes,No,No,Yes,No,No,Yes,No
M720169,None,Yes,No,Yes,Yes,No,No,Yes,No
Q279060,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes
V840276,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No
B248010,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No
C805115,None,Yes,Yes,Yes,No,Yes,No,No,Yes
D89225,DSL,Yes,No,Yes,No,No,No,Yes,No
X904034,Fiber Optic,No,No,No,No,No,No,Yes,No
B148329,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No
X914490,DSL,Yes,Yes,Yes,Yes,No,No,No,No
U120690,None,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
F116821,DSL,No,Yes,No,No,Yes,No,Yes,Yes
X389713,None,Yes,No,No,No,No,Yes,Yes,No
M379067,DSL,Yes,Yes,No,No,No,Yes,No,No
A81135,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes
V280043,DSL,Yes,Yes,No,No,No,No,No,No
U169694,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
N162822,DSL,Yes,Yes,No,No,No,No,No,Yes
K618387,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes
D944092,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes
F908532,Fiber Optic,Yes,No,No,Yes,No,No,No,No
K380097,DSL,Yes,Yes,No,No,No,No,No,Yes
R717119,DSL,Yes,Yes,Yes,No,No,Yes,No,No
X978383,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes
L693606,DSL,No,No,No,Yes,Yes,No,No,No
Q486994,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes
R463442,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No
O40995,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
I933613,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes
O900811,DSL,Yes,Yes,No,No,No,No,Yes,Yes
F269503,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No
V549313,None,Yes,No,No,No,No,Yes,No,Yes
Y254714,None,Yes,No,No,Yes,Yes,No,Yes,No
C125388,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes
D901316,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes
H906834,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No
W551882,DSL,No,Yes,No,No,Yes,Yes,Yes,No
D402022,DSL,Yes,No,No,No,No,No,Yes,Yes
M545162,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes
C459569,None,Yes,Yes,Yes,No,No,No,No,No
O226386,DSL,Yes,Yes,Yes,No,No,No,Yes,No
G954415,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes
E475593,None,Yes,Yes,No,Yes,Yes,No,No,No
D160442,DSL,Yes,No,No,No,No,Yes,Yes,Yes
J757606,None,Yes,Yes,Yes,Yes,No,No,No,No
E791178,None,Yes,Yes,No,Yes,No,No,No,No
U451201,Fiber Optic,Yes,No,No,No,No,No,No,Yes
Z817431,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,No
A295468,None,Yes,Yes,Yes,Yes,Yes,Yes,No,No
S986240,None,Yes,No,No,Yes,Yes,No,Yes,Yes
H472673,DSL,Yes,Yes,No,Yes,No,Yes,No,No
H146363,None,No,No,Yes,No,Yes,No,Yes,Yes
S596844,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes
K458306,Fiber Optic,Yes,No,No,Yes,No,No,No,No
N279711,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No
P760514,None,Yes,No,No,Yes,Yes,No,No,No
H849889,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes
R379090,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes
L187290,Fiber Optic,No,Yes,No,Yes,No,No,No,Yes
X525693,None,Yes,Yes,No,No,No,Yes,No,No
T515102,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No
V571104,DSL,No,No,Yes,Yes,Yes,No,Yes,Yes
V824084,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
L189856,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
D07066,None,Yes,No,Yes,No,No,No,Yes,Yes
N584184,DSL,No,Yes,No,No,No,No,Yes,Yes
K578402,None,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Y413092,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Yes
F980573,None,Yes,No,No,No,No,No,Yes,Yes
I581177,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No
U469398,None,Yes,Yes,No,Yes,No,No,No,No
I85282,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No
Z317359,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I981930,Fiber Optic,Yes,No,No,No,No,No,Yes,No
N227355,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
E805998,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No
J633340,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes
L762626,Fiber Optic,Yes,No,No,No,No,No,Yes,No
S206250,DSL,Yes,No,No,No,No,Yes,Yes,No
C917569,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes
L282757,DSL,Yes,No,No,No,No,No,Yes,Yes
D762674,None,Yes,Yes,Yes,Yes,No,No,Yes,Yes
N914081,None,Yes,Yes,No,No,No,Yes,No,Yes
K905632,DSL,Yes,Yes,No,No,No,No,No,Yes
H247341,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No
N02836,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P742927,DSL,Yes,No,No,No,No,No,Yes,No
V109553,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
J227266,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No
F881222,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes
O167724,None,Yes,Yes,No,No,Yes,Yes,No,No
Y554348,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes
N800767,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No
B363210,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No
P903407,None,Yes,No,No,No,Yes,No,No,Yes
O825386,None,Yes,No,No,Yes,Yes,No,Yes,No
Q76170,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes
J04574,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,Yes
R620556,None,Yes,No,No,No,Yes,Yes,No,Yes
S136763,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
J790219,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes
O403373,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes
S256934,None,Yes,Yes,No,No,No,No,Yes,No
F693121,None,Yes,No,No,No,No,No,Yes,No
O154545,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes
A745374,None,No,No,No,No,Yes,Yes,No,Yes
W893206,DSL,Yes,No,Yes,No,Yes,Yes,Yes,No
H113074,None,Yes,No,No,Yes,Yes,No,No,No
J779911,None,Yes,Yes,Yes,Yes,No,No,No,Yes
Y832510,Fiber Optic,Yes,No,No,No,Yes,No,No,No
S528947,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes
V592787,None,Yes,No,No,No,No,Yes,No,No
H283133,DSL,Yes,No,No,No,Yes,No,No,Yes
W884202,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes
N447597,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes
C416907,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes
A51913,None,Yes,Yes,Yes,No,No,No,Yes,Yes
C742414,Fiber Optic,Yes,No,Yes,No,No,No,No,No
B773959,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No
H691053,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,No
V971650,DSL,Yes,No,Yes,No,Yes,No,Yes,No
L226598,DSL,Yes,No,Yes,No,No,No,Yes,Yes
K730146,None,Yes,No,No,No,No,Yes,No,No
O894158,DSL,Yes,Yes,No,No,No,No,Yes,Yes
H307794,DSL,Yes,No,Yes,No,Yes,No,No,No
A318319,None,Yes,Yes,No,Yes,No,No,No,Yes
T369132,None,Yes,Yes,Yes,No,Yes,No,Yes,Yes
T638377,DSL,Yes,No,No,No,Yes,No,Yes,Yes
E369828,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes
G948882,None,Yes,Yes,Yes,No,No,Yes,Yes,No
Y748946,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes
O402306,DSL,Yes,Yes,Yes,No,No,No,No,No
D493050,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No
D758871,DSL,Yes,Yes,No,No,No,No,No,No
F353304,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes
X960330,DSL,Yes,No,No,No,Yes,No,No,No
O463102,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes
W202562,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes
B323829,None,Yes,No,Yes,No,Yes,No,No,No
M790643,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes
D555108,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes
W839946,None,No,No,No,Yes,No,Yes,No,No
O511762,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes
B118954,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes
N28336,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes
B871043,None,No,Yes,Yes,No,No,Yes,Yes,No
S317408,Fiber Optic,Yes,No,No,Yes,No,No,No,No
S255098,DSL,Yes,No,No,No,Yes,No,Yes,Yes
X426072,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Yes
W452692,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes
F858862,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No
L944489,None,Yes,No,No,Yes,Yes,Yes,Yes,Yes
K681982,DSL,Yes,No,No,Yes,No,No,No,No
F240900,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes
R164095,None,Yes,No,Yes,No,No,Yes,No,No
O534672,DSL,Yes,Yes,No,No,No,Yes,No,Yes
K473134,None,Yes,No,Yes,No,No,No,Yes,Yes
W211742,None,Yes,Yes,No,No,No,No,Yes,Yes
H500107,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes
E998043,None,Yes,Yes,No,No,No,No,Yes,No
E965565,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes
S332430,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes
L596007,DSL,Yes,No,Yes,Yes,No,Yes,No,No
R760429,None,Yes,Yes,No,No,No,No,No,No
N954926,None,Yes,No,No,No,Yes,No,No,Yes
Z164087,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No
Z714373,DSL,No,No,Yes,Yes,No,Yes,Yes,No
E862109,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No
S777773,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,No
K974970,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No
S411723,None,Yes,No,Yes,No,No,No,Yes,No
C867654,DSL,Yes,No,Yes,No,Yes,No,No,Yes
V529956,None,Yes,Yes,Yes,No,Yes,Yes,Yes,No
L538003,None,Yes,Yes,No,No,Yes,No,No,No
P120818,DSL,Yes,Yes,Yes,No,No,Yes,No,No
H401803,Fiber Optic,Yes,No,No,No,No,No,No,No
W309763,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes
X715086,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes
L72577,DSL,Yes,Yes,No,No,No,No,No,Yes
R753498,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes
U843827,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No
L152937,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No
D765207,DSL,Yes,No,No,No,No,No,No,No
N700604,DSL,Yes,Yes,No,No,No,No,Yes,No
J316639,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No
Y517622,None,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P454810,None,Yes,No,Yes,Yes,No,Yes,No,Yes
H757186,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes
A653303,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes
J307751,None,Yes,No,Yes,No,Yes,No,Yes,Yes
N206516,None,No,Yes,Yes,Yes,Yes,Yes,Yes,No
W592004,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes
Q445599,DSL,Yes,No,No,No,No,Yes,No,No
P651840,DSL,Yes,Yes,No,No,Yes,No,Yes,Yes
F902621,None,Yes,No,Yes,Yes,Yes,No,Yes,No
K455778,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
H686155,Fiber Optic,Yes,No,No,No,No,No,No,No
G769178,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes
V150452,DSL,Yes,No,No,No,No,Yes,No,Yes
P688672,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes
I31591,None,Yes,No,No,Yes,No,Yes,Yes,Yes
W339489,DSL,Yes,No,Yes,No,No,Yes,No,Yes
Y795644,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No
Z42949,Fiber Optic,Yes,No,Yes,No,No,Yes,No,No
K702957,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No
U27325,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No
N804575,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes
P54060,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes
L363925,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No
S253484,Fiber Optic,Yes,No,No,No,No,No,No,No
