CustomerID,City,State,Zip_Code,Age,Gender,Senior_Citizen,Marital,Dependents,Tenure_Months,Phone,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Churn
7760-OYPDY,Los Angeles,CA,90056,68,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,Yes
9420-LOJKX,Los Angeles,CA,90061,68,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,Yes
7495-OOKFY,Los Angeles,CA,90063,66,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,Yes
1658-BYGOY,Los Angeles,CA,90065,69,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Yes
5698-BQJOH,Beverly Hills,CA,90211,74,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,Yes
5919-TMRGD,Huntington Park,CA,90255,76,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,Yes
9191-MYQKX,North Bend,WA,98045,77,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,Yes
8637-XJIVR,Everett,WA,98203,70,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,Yes
0278-YXOOG,Dryden,WA,98821,74,Male,No,No,No,5,Yes,No,None,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,Yes
4598-XLKNJ,Pullman,WA,99164,77,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,Yes
3192-NQECA,Malden,WA,99149,71,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,Yes
0486-HECZI,Entiat,WA,98822,79,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,Yes
4846-WHAFZ,Kettle Falls,WA,99141,66,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,Yes
5299-RULOA,Vader,WA,98593,77,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,Yes
0404-SWRVG,Mansfield,WA,98830,80,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Yes
4412-YLTKF,Milton,WA,98354,77,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,Yes
6207-WIOLX,Starbuck,WA,99359,77,Female,No,Yes,No,25,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,Yes
3091-FYHKI,Seaview,WA,98644,72,Male,No,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Yes
2372-HWUHI,Copalis Beach,WA,98535,80,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,Yes
0390-DCFDQ,Deer Park,WA,99006,74,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Yes
4080-OGPJL,Hansville,WA,98340,68,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,Yes
2135-RXIHG,Issaquah,WA,98029,78,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Yes
3874-EQOEP,Ephrata,WA,98823,75,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95,Yes
0867-MKZVY,Lincoln,WA,99147,77,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,Yes
3376-BMGFE,Peshastin,WA,98847,80,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,Yes
3445-HXXGF,Bothell,WA,98012,75,Male,Yes,Yes,No,58,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,Yes
1875-QIVME,Bremerton,WA,98311,69,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,Yes
0691-JVSYA,Seattle,WA,98115,74,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,Yes
2656-FMOKZ,Bothell,WA,98012,76,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,Yes
2070-FNEXE,Washtucna,WA,99371,69,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,Yes
6317-YPKDH,Renton,WA,98056,72,Female,No,No,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,Yes
9367-WXLCH,Tacoma,WA,98446,69,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,Yes
1918-ZBFQJ,Pacific,WA,98047,73,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,Yes
1024-GUALD,Port Townsend,WA,98368,65,Female,No,Yes,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,Yes
2472-OVKUP,Seattle,WA,98148,74,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91,Yes
1285-OKIPP,Longview,WA,98632,65,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,Yes
7825-ECJRF,Gifford,WA,99131,66,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,Yes
7841-TZDMQ,Renton,WA,98056,71,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46,Yes
9408-SSNVZ,Stevenson Ranch,CA,91381,65,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,Yes
0742-MOABM,Panorama City,CA,91402,69,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,Yes
2232-DMLXU,Van Nuys,CA,91411,75,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,Yes
8937-RDTHP,Burbank,CA,91504,75,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,Yes
1251-KRREG,North Hollywood,CA,91601,68,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,Yes
0094-OIFMO,North Hollywood,CA,91605,71,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,Yes
9947-OTFQU,Covina,CA,91722,80,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Yes
0322-YINQP,Covina,CA,91723,66,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,Yes
4629-NRXKX,El Monte,CA,91731,73,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,Yes
9514-JDSKI,El Monte,CA,91732,77,Male,Yes,Yes,No,1,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,Yes
4959-JOSRX,La Puente,CA,91744,76,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,Yes
7273-TEFQD,La Puente,CA,91746,65,Male,Yes,No,No,3,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,Yes
3606-TWKGI,Rowland Heights,CA,91748,75,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,Yes
6323-AYBRX,Ontario,CA,91762,75,Male,No,No,No,59,Yes,No,None,No,No,No,No,No,No,Two year,No,Mailed check,19.35,Yes
4385-GZQXV,Ontario,CA,91764,68,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,Yes
6366-ZGQGL,Pomona,CA,91766,71,Male,No,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,Yes
5940-AHUHD,Pomona,CA,91768,74,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,Yes
6432-TWQLB,Rosemead,CA,91770,77,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,Yes
4484-GLZOU,San Dimas,CA,91773,73,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,Yes
9512-UIBFX,West Covina,CA,91791,68,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,Yes
5583-SXDAG,Alhambra,CA,91803,74,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70,Yes
3488-PGMQJ,Alpine,CA,91901,65,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,Yes
3580-REOAC,Bonita,CA,91902,73,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,Yes
7534-BFESC,Boulevard,CA,91905,74,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,Yes
6390-DSAZX,Guatay,CA,91931,80,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,Yes
8098-LLAZX,Jacumba,CA,91934,76,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Yes
0265-EDXBD,Mount Laguna,CA,91948,73,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,Yes
7563-BIUPC,Borrego Springs,CA,92004,70,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,Yes
2321-OMBXY,Carlsbad,CA,92009,75,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,Yes
2840-XANRC,Del Mar,CA,92014,74,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,Yes
5020-ZSTTY,El Cajon,CA,92020,76,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,Yes
5804-LEPIM,Escondido,CA,92029,75,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,Yes
0122-OAHPZ,Oceanside,CA,92057,74,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,Yes
2868-SNELZ,Pala,CA,92059,73,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,Yes
4322-RCYMT,Palomar Mountain,CA,92060,69,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,Yes
6680-NENYN,Pauma Valley,CA,92061,75,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,Yes
1343-EHPYB,Ranchita,CA,92066,65,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,Yes
2034-GDRCN,Valley Center,CA,92082,77,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,Yes
0219-YTZUE,San Diego,CA,92103,67,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,Yes
0623-IIHUG,San Diego,CA,92104,78,Female,Yes,No,No,21,No,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,Yes
4572-DVCGN,San Diego,CA,92105,65,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,Yes
9057-MSWCO,San Diego,CA,92108,74,Male,Yes,Yes,No,27,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,Yes
1010-DIAUQ,San Diego,CA,92116,70,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,Yes
0259-GBZSH,San Diego,CA,92122,69,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,Yes
9601-BRXPO,San Diego,CA,92129,76,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,Yes
6905-NIQIN,San Diego,CA,92154,71,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,Yes
5167-ZFFMM,Indio,CA,92201,76,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,Yes
4895-TMWIR,Indian Wells,CA,92210,77,Male,Yes,Yes,No,11,Yes,No,None,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.95,Yes
0533-BNWKF,Palm Desert,CA,92211,74,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,Yes
6599-CEBNN,Desert Hot Springs,CA,92240,77,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,Yes
0979-PHULV,Holtville,CA,92250,76,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,Yes
4800-VHZKI,Niland,CA,92257,77,Female,No,No,No,1,Yes,No,None,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.9,Yes
7989-CHGTL,North Palm Springs,CA,92258,80,Male,No,No,No,1,Yes,No,None,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.6,Yes
0334-GDDSO,Ocotillo,CA,92259,68,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,Yes
0578-SKVMF,Seeley,CA,92273,79,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,Yes
5564-NEMQO,Thermal,CA,92274,65,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,Yes
9063-ZGTUY,Adelanto,CA,92301,68,Female,No,Yes,No,61,Yes,No,None,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.4,Yes
2957-LOLHO,Apple Valley,CA,92307,72,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,Yes
7752-XUSCI,Crestline,CA,92325,66,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,Yes
4110-PFEUZ,Daggett,CA,92327,68,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,Yes
0256-LTHVJ,Ludlow,CA,92338,69,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,Yes
0880-TKATG,Lucerne Valley,CA,92356,76,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,Yes
3811-VBYBZ,Lytle Creek,CA,92358,70,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,Yes
4640-UHDOS,Phelan,CA,92371,71,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,Yes
3583-EKAPL,Redlands,CA,92373,75,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55,Yes
9399-APLBT,Rialto,CA,92377,67,Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,Yes
2359-KMGLI,Running Springs,CA,92382,65,Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,Yes
0306-JAELE,Tecopa,CA,92389,80,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,Yes
6227-HWPWX,Victorville,CA,92392,71,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69,Yes
0447-BEMNG,Wrightwood,CA,92397,70,Female,No,Yes,No,48,No,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,Yes
5949-XIKAE,San Bernardino,CA,92401,73,Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,Yes
8372-JUXUI,San Bernardino,CA,92410,78,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,Yes
0388-EOPEX,Riverside,CA,92503,76,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Yes
8205-OTCHB,Riverside,CA,92506,73,Male,No,No,No,22,No,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,Yes
6235-VDHOM,Riverside,CA,92509,68,Female,Yes,No,No,5,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.45,Yes
7783-YKGDV,March Air Reserve Base,CA,92518,79,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,Yes
5609-CEBID,Hemet,CA,92544,67,Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,Yes
7218-HKQFK,Homeland,CA,92548,69,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,Yes
4636-QRJKY,Idyllwild,CA,92549,72,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,Yes
5956-VKDTT,Moreno Valley,CA,92557,75,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,Yes
9412-GHEEC,Murrieta,CA,92563,67,Male,No,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,Yes
0257-ZESQC,Perris,CA,92571,72,Female,Yes,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,Yes
6825-UYPFK,Sun City,CA,92586,68,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,Yes
8397-MVTAZ,Sun City,CA,92587,68,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,Yes
9282-IZGQK,Irvine,CA,92612,75,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85,Yes
1342-JPNKI,Lake Forest,CA,92630,74,Male,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,Yes
2817-NTQDO,Huntington Beach,CA,92646,78,Male,No,No,No,13,No,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.55,Yes
6986-IJDHX,Huntington Beach,CA,92648,66,Male,No,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,86.3,Yes
5301-GAUUY,Newport Beach,CA,92661,73,Male,No,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,Yes
0939-YAPAF,Santa Ana,CA,92701,79,Female,No,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,Yes
4710-FDUIZ,Santa Ana,CA,92707,69,Male,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),100.3,Yes
1218-VKFPE,Anaheim,CA,92805,65,Female,No,Yes,No,12,Yes,No,None,No,No,No,No,No,No,Month-to-month,No,Mailed check,19,Yes
3627-FHKBK,Anaheim,CA,92806,68,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,Yes
2865-TCHJW,Anaheim,CA,92807,79,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,Yes
5192-EBGOV,Brea,CA,92823,80,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,Yes
0719-SYFRB,Norco,CA,92860,77,Female,No,No,No,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,Yes
3419-SNJJD,Yorba Linda,CA,92887,65,Female,Yes,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.25,Yes
6543-CPZMK,Ventura,CA,93001,66,Male,No,Yes,No,9,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,Yes
4765-OXPPD,Ventura,CA,93003,75,Female,No,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,65,Yes
1009-IRMNA,Port Hueneme,CA,93041,74,Female,No,No,No,7,Yes,No,None,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20,Yes
4554-YGZIH,Summerland,CA,93067,80,Male,Yes,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.05,Yes
