Sentiment,Clean_Review
0,"['performance', 'not', 'improved', 'improvisation', 'actor', 'twice', 'much', 'worry', 'not', 'whether', 'delivering', 'line', 'well', 'but', 'whether', 'line', 'good']"
0,"['quite', 'honestly', 'often', 'not', 'good']"
0,"['often', 'dialogue', 'doesn', 'really', 'follow', 'one', 'line', 'another', 'fit', 'surroundings']"
0,"['crackle', 'unpredictable', 'youthful', 'energy', 'but', 'honestly', 'found', 'hard', 'follow', 'concentrate', 'meander', 'badly']"
1,"['generally', 'great', 'thing']"
0,"['wouldn', 'say', 'worth', '2', 'hour', 'time', 'though']"
1,"['suspense', 'builder', 'good', 'just', 'cross', 'line', 'g', 'pg']"
1,"['especially', 'liked', 'non', 'cliche', 'choice', 'parent', 'movie', 'could', 'predict', 'dialog', 'verbatim', 'but', 'writing', 'movie', 'made', 'better', 'selection']"
1,"['want', 'movie', 'not', 'gross', 'but', 'give', 'chill', 'great', 'choice']"
1,"['alexander', 'nevsky', 'great', 'film']"
1,"['amazing', 'film', 'artist', 'one', 'important', 'whoever', 'lived']"
0,"['glad', 'pretentious', 'piece', 'didn', 'planned', 'dodge', 'stratus', 'big', 'shot', 'gon', 'na', 'help', 'movie', 'maker', 'restrained', 'movie', 'business', 'quebec']"
1,"['first', 'movie', 'given', '10', 'year']"
1,"['ever', 'movie', 'needed', 'word', 'mouth', 'promote']"
1,"['overall', 'film', 'interesting', 'thought', 'provoking']"
1,"['plus', 'well', 'paced', 'suited', 'relatively', 'short', 'run', 'time']"
1,"['give', 'one', 'look']"
1,"['gave', '10']"
1,"['wind', 'lion', 'well', 'written', 'superbly', 'acted']"
1,"['true', 'classic']"
1,"['actually', 'turned', 'pretty', 'decent', 'far', 'b', 'list', 'horror', 'suspense', 'film', 'go']"
1,"['definitely', 'worth', 'checking']"
0,"['problem', 'script']"
0,['horrendous']
0,"['nothing', 'believable']"
0,"['suspense', 'feeling', 'frustration', 'just', 'how', 'retarded', 'girl']"
1,"['manna', 'heaven', 'terrific', 'film', 'predictable', 'unpredictable', 'time']"
1,"['scene', 'often', 'funny', 'occasionally', 'touching', 'character', 'evaluate', 'life', 'going']"
1,"['cast', 'veteran', 'actor', 'just', 'nostalgia', 'trip']"
1,"['ursula', 'burton', 'portrayal', 'nun', 'touching', 'funny', 'time', 'making', 'fun', 'nun', 'church']"
1,"['looking', 'movie', 'terrific', 'cast', 'good', 'music', 'including', 'shirley', 'jones', 'rendition', 'way', 'look', 'tonight', 'uplifting', 'ending', 'give', 'one', 'try']"
1,"['don', 'think', 'disappointed']"
0,"['frankly', 'cotton', 'club', 'unfaithful', 'kind', 'embarrassing', 'watch', 'lane', 'gere', 'film', 'bad']"
0,"['acting', 'bad', 'dialog', 'extremely', 'shallow', 'insincere']"
0,"['predictable', 'even', 'chick', 'flick']"
0,"['politically', 'correct']"
0,['disappointing']
1,"['thing', 'really', 'worth', 'watching', 'scenery', 'house', 'beautiful']"
0,"['love', 'lane', 'but', 'never', 'seen', 'movie', 'lousy']"
0,"['hour', 'half', 'wish', 'could', 'bring', 'back']"
1,"['but', 'term', 'writing', 'fresh', 'bold']"
1,"['acting', 'help', 'writing', 'along', 'well', 'maybe', 'idiot', 'savant', 'sister', 'could', 'played', 'better', 'real', 'joy', 'watch']"
0,"['directing', 'cinematography', 'quite', 'good']"
0,"['movie', 'boring', 'sometimes', 'found', 'occupied', 'peaking', 'paper', 'instead', 'watching', 'never', 'happened', 'columbo', 'movie']"
0,"['sometimes', 'embarrassing', 'look', 'away']"
0,"['directing', 'seems', 'pretentious']"
0,"['scene', 'oh', 'mature', 'neighbour', 'girl', 'misplace']"
0,"['generally', 'line', 'plot', 'weaker', 'average', 'episode']"
0,"['scene', 'debated', 'whether', 'not', 'sack', 'trumpeter', 'falsely', 'accused', 'murder', 'pure', 'horror', 'really', 'stupid']"
1,"['applause', 'should', 'given', 'prelude', 'however']"
1,"['really', 'liked']"
1,"['great', 'film', 'great', 'director']"
1,"['movie', 'edge', 'seat', 'made', 'somewhat', 'afraid', 'go', 'car', 'end', 'night']"
1,"['music', 'film', 'really', 'nice']"
1,"['advise', 'anyone', 'go', 'see']"
1,['brilliant']
1,"['10', '10']"
1,"['liked', 'movie', 'way', 'much']"
0,"['problem', 'thought', 'actor', 'playing', 'villain', 'low', 'rent', 'michael', 'ironside']"
1,"['rocked', 'world', 'certainly', 'must', 'see', 'anyone', 'no', 'social', 'physical', 'outlet']"
0,"['however', 'didn', 'make', 'fact', 'overall', 'tremendously', 'boring', 'movie']"
0,"['no', 'chemistry', 'ben', 'affleck', 'sandra', 'bullock', 'film', 'couldn', 'understand', 'why', 'would', 'consider', 'even', 'leaving', 'wife', 'chick', 'supposedly', 'knocked']"
0,"['several', 'moment', 'movie', 'just', 'didn', 'need', 'excruciatingly', 'slow', 'moving']"
0,"['poor', 'remake', 'best', 'friend', 'wedding']"
0,"['great', 'disappointment']"
0,"['not', 'believe', 'actor', 'agreed', 'film']"
0,"['could', 'not', 'stand', 'even', 'watch', 'long', 'fear', 'losing', 'q']"
0,"['guess', 'nobody', 'network', 'aired', 'dribble', 'watched', 'putting']"
0,"['imdb', 'rating', 'go', 'low', '1', 'awful', 'time', 'get', 'negative', 'number', 'case']"
0,"['saw', 'mirrormask', 'last', 'night', 'unsatisfactory', 'experience']"
0,"['unfortunately', 'inexperience', 'direction', 'meant', 'scene', 'scene', 'passed', 'little', 'way', 'dramatic', 'tension', 'conflict']"
0,"['central', 'theme', 'film', 'handled', 'ineptly', 'stereotypically', 'no', 'depth', 'imagination']"
0,"['pretty', 'picture', 'world', 'not', 'make', 'piece', 'work', 'flawed', 'core']"
0,"['hour', 'half', 'waste', 'time', 'following', 'bunch', 'pretty', 'high', 'schoolers', 'whine', 'cry', 'life']"
0,"['relate', 'hell', 'barely', 'understand']"
1,"['definitely', 'cult', 'classic', 'well', 'worth', 'viewing', 'sharing', 'others']"
0,"['movie', 'pure', 'disaster', 'story', 'stupid', 'editing', 'worst', 'seen', 'confuses', 'incredibly']"
0,"['fish', 'badly', 'made', 'underwater', 'shot', 'repeated', 'thousand', 'time', 'film']"
0,"['truly', 'truly', 'bad', 'film']"
0,"['acting', 'terrible', 'writing', 'worse']"
0,"['possible', 'way', 'movie', 'could', 'redeemed', 'would', 'mst3k', 'fodder']"
0,"['paid', 'much']"
1,"['also', 'real', 'treat', 'see', 'anthony', 'quinn', 'playing', 'crazy', 'horse']"
0,['boring']
0,"['no', 'plot', 'whatsoever']"
0,"['no', 'plot']"
0,['horrible']
0,"['worst', 'hour', 'half', 'life', 'oh', 'gosh']"
0,"['walk', 'theatre', 'minute', 'just', 'get', 'relief']"
0,"['hate', 'movie', 'like']"
0,"['yeah', 'movie', 'pretty', 'much', 'sucked']"
0,"['no', 'plot', 'storyline']"
0,"['go', 'see', 'movie', 'bring', 'pillow', 'girlfriend', 'boyfriend', 'keep', 'occupied']"
0,['awful']
0,"['don', 'think', 'ever', 'gone', 'movie', 'disliked', 'much']"
0,"['good', 'thing', 'ticket', 'cost', 'five', 'dollar', 'would', 'mad', 'paid', '7', '50', 'see', 'crap']"
0,"['nobody', 'identifies', 'character', 'cardboard', 'cutout', 'stereotype', 'predictably', 'reverse', 'stereotype']"
0,"['bad', 'film', 'bad', 'writing', 'good', 'actor', 'ugly', 'cartoon', 'crafted', 'paul', 'haggis', 'people', 'handle', 'anything', 'but', 'bold', 'stroke', 'storytelling', 'picture', 'painted', 'crayon']"
0,"['crash', 'depressing', 'little', 'nothing', 'provokes', 'emotion', 'but', 'teach', 'nothing', 'already', 'know', 'racism', 'prejudice', 'bad', 'thing']"
1,"['still', 'like', 'movie', 'empowerment', 'woman', 'not', 'enough', 'movie', 'like', 'one']"
0,"['brain', 'attempt', 'shut', 'part', 'primal', 'impulse', 'self', 'preservation']"
0,"['left', 'shattered', 'experience', 'watching', 'film', 'took', 'good', 'two', 'hour', 'fully', 'recover']"
0,"['movie', 'join', 'revenge', 'boogeyman', 'zombiez', 'part', 'hellish', 'trinity', 'horror', 'film']"
0,"['certainly', 'not', 'mean', 'distinction', 'good', 'way']"
0,"['mean', 'terrible', 'way']"
0,"['film', 'ha', 'no', 'redeeming', 'feature']"
0,"['everything', 'appalling']"
0,"['artless', 'camera', 'work', 'endlessly', 'present', 'u', 'ugliest', 'setting', 'imaginable', 'e']"
0,"['story', 'beyond', 'stupid']"
0,['script']
0,"['kid', 'annoying']"
0,"['lead', 'man', 'charisma', 'free']"
0,"['utterly', 'without', 'merit', 'level', 'akin', 'torture']"
0,"['even', 'say', 'torture']"
0,"['maybe', 'would', 'reasonable', 'explanation', 'atrocity']"
0,"['not', 'pleasant', 'voyage', 'self', 'discovery']"
0,"['highly', 'unrecommended']"
0,"['premise', 'sound', 'stupid']"
0,"['yes', 'bad']"
0,"['nothing', 'recommend']"
1,"['excellent', 'performance']"
1,"['garbo', 'showed', 'right', 'bat', 'talent', 'could', 'carry', 'silent', 'era', 'wanted', 'see', 'silent', 'work', 'but', 'netflix', 'doesn', 'seem', 'stocking']"
1,"['also', 'great', 'see', 'renowned', 'silent', 'screenwriter', 'france', 'marion', 'hasn', 'missed', 'step', 'going', 'silent', 'sound']"
0,"['movie', 'suffered', 'writing', 'needed', 'suspense']"
0,"['many', 'close', 'ups']"
0,"['but', 'movie', 'seemed', 'drag', 'hero', 'didn', 'really', 'work', 'freedom']"
0,"['but', 'movie', 'definitely', 'average', 'rent']"
1,['love']
0,"['movie', 'bad']"
0,['bad']
0,"['film', 'way', 'long']"
0,"['definitely', 'one', 'bad', 'one']"
1,"['movie', 'received', 'great', 'quality', 'film', 'age']"
1,"['john', 'wayne', 'incredible', 'job', 'young', 'movie', 'industry']"
1,"['screen', 'presence', 'shined', 'thought', 'even', 'though', 'senior', 'actor', 'screen']"
1,"['think', 'must', 'see', 'older', 'john', 'wayne', 'film']"
0,"['really', 'don', 'see', 'how', 'anyone', 'could', 'enjoy', 'movie']"
0,"['don', 'think', 'ever', 'seen', 'movie', 'half', 'boring', 'self', 'indulgent', 'piece', 'junk']"
0,"['probably', 'would', 'better', 'director', 'hadn', 'spent', 'movie', 'showcasing', 'art', 'work', 'really', 'isn', 'noteworthy']"
0,"['another', 'thing', 'didn', 'really', 'like', 'character', 'got', 'punched', 'face', 'gallon', 'blood', 'would', 'spew', 'forth', 'soon']"
1,"['jamie', 'foxx', 'absolutely', 'ray', 'charles']"
1,"['performance', 'simply', 'genius']"
1,"['owns', 'film', 'just', 'spacek', 'owned', 'coal', 'miner', 'daughter', 'quaid', 'owned', 'great', 'ball', 'fire']"
1,"['fact', 'hard', 'remember', 'part', 'ray', 'charles', 'acted', 'not', 'played', 'man']"
1,"['ray', 'charles', 'legendary']"
1,"['ray', 'charles', 'life', 'provided', 'excellent', 'biographical', 'material', 'film', 'go', 'well', 'beyond', 'just', 'another', 'movie', 'musician']"
1,"['hitchcock', 'great', 'director']"
0,"['ironically', 'mostly', 'find', 'film', 'total', 'waste', 'time', 'watch']"
1,"['secondly', 'hitchcock', 'pretty', 'much', 'perfected', 'thriller', 'chase', 'movie']"
0,"['pandering', 'audience', 'sabotage', 'film']"
0,"['hence', 'whole', 'story', 'lack', 'certain', 'energy']"
0,"['plot', 'simply', 'rumble', 'like', 'machine', 'desperately', 'depending', 'addition', 'new', 'scene']"
0,"['usual', 'hitchcock', 'logic', 'flaw']"
0,"['mishima', 'extremely', 'uninteresting']"
0,"['chilly', 'unremarkable', 'movie', 'author', 'living', 'working', 'chilly', 'abstruse', 'culture']"
0,"['flat', 'reenactment', 'don', 'hold', 'attention', 'emotionally', 'adrift', 'stagy']"
0,"['rest', 'just', 'sits', 'awful', 'soldier', 'singing', 'song', 'masculinity', 'pledge', 'hairsplitting', 'purity', 'admiration', 'sword', 'etc']"
0,"['bore', 'piece', 'kill', 'momentum', 'movie', 'quicker', 'anyone', 'else']"
0,"['schrader', 'ha', 'made', 'resume', 'full', 'lousy', 'amateurish', 'film']"
1,"['first', 'watched', 'movie', '80', 'loved']"
1,"['totally', 'fascinated', 'music', 'dancing', 'everything']"
0,"['however', 'recently', 'watched', 'whole', 'thing', 'dvd', 'completely', 'struck', 'how', 'extremely', 'stupid', 'storyline', 'how', 'contained', 'hole', 'inconsistency', 'frankly', 'whole', 'lot', 'crap', 'how', 'horrid', 'dancing']"
0,"['mean', 'realistic', 'world', 'would', 'never', 'gotten', 'ballet', 'repertory', 'whole', 'thing', 'quite', 'pathetic']"
0,"['character', 'development', 'also', 'lacked', 'depth']"
0,"['woa', 'talk', 'awful']"
0,"['not', 'waste', 'time']"
0,"['just', 'horrible']"
0,"['worst', 'sappiest', 'dialogue', 'could', 'go']"
0,"['but', 'really', 'made', 'unwatchable', 'direction']"
0,"['poor', 'actor']"
0,"['even', 'tell', 'talent', 'not', 'pathetic', 'line', 'speak', 'but', 'director', 'gave', 'no', 'action']"
0,"['check', 'director', 'filmography', 'site', 'see', 'why', 'film', 'didn', 'chance']"
0,"['would', 'not', 'even', 'good', 'made', 'tv', 'flick']"
1,"['good', 'intention', 'made', 'film', 'great', 'film', 'might', 'one', 'greatest', 'film', 'ever', 'made']"
1,"['film', 'ha', 'great', 'actor', 'master', 'director', 'significant', 'theme', 'least', 'would', 'significant', 'theme', 'undertone', 'fifty', 'existential', 'world', 'weariness', 'aerial', 'scene', 'ought', 'thrilled', 'sens', 'imagination', 'character', 'one', 'might', 'deeply', 'care']"
0,"['regrettably', 'film', 'fails']"
0,"['movie', 'lack', 'visual', 'interest', 'drama', 'expression', 'feeling', 'celebration', 'patriotism', 'underline', 'narrative']"
0,"['no', 'actress', 'ha', 'worse', 'used', 'june', 'allison', 'movie']"
1,"['yet', 'enjoy', 'watching']"
0,"['unfortunately', 'bad', 'movie', 'just', 'plain', 'bad']"
0,"['bad', 'script', 'bad', 'direction', 'horrible', 'acting', 'make', 'one', 'plain', 'bad']"
0,"['dialogue', 'sucked']"
0,"['cinematography', 'called', 'sucked']"
0,"['soundtrack', 'sucked']"
0,"['acting', 'sucked']"
0,"['concert', 'sequence', 'just', 'sucked']"
1,['nice']
1,['funny']
1,['funny']
0,"['overall', 'movie', 'cheap', 'trash']"
0,"['but', 'movie', 'not', 'funny', 'considering', 'ridiculousness']"
0,"['came', 'feeling', 'angry']"
1,"['spoiler', 'whatever', 'else', 'said', 'surface', 'superbly', 'crafted']"
1,"['cinematography', 'simply', 'stunning', 'say', 'least', 'fx', 'nothing', 'not', 'state', 'art']"
1,"['conceptually', 'show', 'offer', 'little', 'bit', 'everything', 'just', 'everybody', 'parent', 'kid', 'fantasy', 'fx', 'fan']"
1,"['wasn', 'single', 'sour', 'note', 'struck', 'acting', 'wise', 'either', 'surprisingly', 'solid', 'casting']"
1,"['thing', 'considered', 'job', 'well', 'done']"
1,"['thanks', 'good', 'movie', 'like', 'done', 'released']"
1,"['one', 'best', 'mexican', 'movie', 'ever', 'one', 'less', 'understood', 'even', 'mexican', 'no', 'matter', 'how', 'identified', 'should', 'felt']"
1,"['rank', 'highly', 'great', 'noir', 'crime', 'drama', 'incredible', 'performance', 'belmondo', 'lino', 'ventura']"
1,"['attention', 'given', 'every', 'character', 'complex', 'psychological', 'portrayal', 'detailing', 'loyalty', 'treachery', 'love', 'hope', 'tremendous']"
1,"['excellent', 'drama', 'excellent', 'thriller', 'excellent', 'film']"
1,"['best', 'melville']"
1,"['everything', 'film', 'simply', 'incredible']"
1,"['truly', 'take', 'journey', 'eye', 'soul', 'child']"
1,"['black', 'water', 'thriller', 'manages', 'completely', 'transcend', 'limitation', 'indie', 'flick', 'continually', 'subverting', 'expectation', 'emerge', 'intense', 'experience']"
1,"['performance', 'real', 'gripping', 'crocdodile', 'extremely', 'well', 'done', 'indeed', 'black', 'water', 'website', 'believed', 'used', 'real', 'crocs', 'swamp', 'location', 'fabulous']"
1,"['thoroughly', 'enjoyed', 'christopher', 'eccleston', 'took', 'control', 'tardis', 'continuation', 'series']"
0,"['not', 'sure', 'trying', 'film']"
0,"['turn', 'good', 'day', 'feeling', 'night', 'disturbing', 'memory', 'guess', 'succeeded']"
1,"['lot', 'beautiful', 'place']"
0,"['forced', 'like', 'everything', 'movie']"
0,['lame']
0,"['movie', 'really', 'pi', 'ed']"
0,"['don', 'even', 'get', 'started', 'jerky', 'camerawork']"
0,"['saw', 'theater', 'thought', 'going', 'sick']"
0,"['summary', 'witticism', 'weren', 'witty']"
0,"['plot', 'well', 'said', 'let', 'one', 'go']"
0,"['acting', 'bad']"
0,"['really', 'bad']"
0,"['even', 'billy', 'bob', 'couldn', 'rise', 'script', 'worse']"
0,"['camerawork', 'bad']"
0,"['rating', '1', '10']"
1,"['amazing', 'finale', 'possibly', 'best', 'trilogy', 'time']"
1,"['kieslowski', 'never', 'cease', 'amaze']"
1,"['one', 'favourite', 'director', 'one', 'talented', 'director', 'history', 'cinema']"
1,"['use', 'colour', 'french', 'flag', 'three', 'film', 'nothing', 'short', 'incredible', 'every', 'shot', 'every', 'scene', 'like', 'work', 'art']"
1,"['three', 'visually', 'appealing', 'movie', 'ever', 'seen']"
1,"['subtle', 'connection', 'three', 'film', 'awesome']"
1,"['mention', 'huge', 'spoiler', 'loved', 'ending', 'how', 'character', 'three', 'film', 'remaining', 'survivor', 'ferry', 'disaster', 'valentine', 'young', 'judge', 'together', 'old', 'man', 'watching', 'tv', 'solidifying', 'happiness', 'suffering', 'dealt', 'many', 'year']"
1,"['couldn', 'think', 'better', 'way', 'end', 'film', 'but', 'smile', 'face', 'great', 'way', 'wrap', 'amazing', 'film', 'trilogy']"
1,"['recommend', 'everyone', 'love', 'film', 'movie', 'anything', 'work', 'art']"
1,"['10', '10', 'movie', 'trilogy']"
0,"['literally', 'vomited', 'watching', 'film']"
1,"['think', 'one', 'people', 'found', 'another', 'one', 'roth', 'pearl']"
1,"['performance', 'awarded', 'stunning']"
1,"['story', 'told', 'eloquently', 'francis', 'ford', 'coppola', '25', 'year', 'earlier', 'really', 'unfolds', 'gradually', 'leaf', 'room', 'character', 'develop']"
1,"['wonderful', 'location', 'lie', 'story', 'contrast']"
1,"['beautiful', 'directed', 'film', 'nicola', 'roeg', 'wih', 'sublime', 'cast']"
0,"['translating', 'movie', 'living', 'first', 'movie', '5', 'year', 'working', 'experience', 'found', 'offensive', 'intelligence']"
0,"['but', 'someone', 'strives', 'greatness', 'poetry', 'but', 'delivers', 'muddled', 'often', 'ridiculous', 'story', 'bunch', 'disparate', 'scene', 'pretentious', 'dialogue', 'get', 'worst', 'kind', 'movie', 'reviewer', 'accurately', 'defined', 'pretentious', 'crap']"
0,"['find', 'movie', 'intelligent', 'even', 'masterful', 'say', 'intelligence', 'imagination', 'obviously', 'used', 'try', 'make', 'sense', 'pitiful', 'attempt', 'human', 'nature', 'try', 'make', 'sense', 'thing']"
0,"['one', 'thing', 'tolerate', 'political', 'incorrectness', 'well', 'artistic', 'freedom', 'suspension', 'disbelief', 'but', 'slavic', 'female', 'character', 'just', 'much']"
1,"['fun', 'funny', 'movie']"
1,"['highly', 'entertaining', 'angle']"
1,"['feature', 'outlandish', 'array', 'memorable', 'psychotic', 'but', 'lovable', 'nut']"
1,"['enjoyment', 'get', 'see', 'run', 'around', 'play', 'game', 'dangerous']"
1,"['even', 'ha', 'sweet', 'moment']"
1,"['telephone', 'repair', 'man', 'really', 'funny', 'reaction', 'nut', 'bitchy', 'bos', 'truly', 'genuine']"
1,"['character', 'film', 'tremendously', 'well', 'played']"
1,"['really', 'find', 'funny']"
1,"['actually', 'smart', 'movie']"
1,"['brilliant', 'twist', 'ending']"
1,['love']
1,"['ending', 'perfect', 'shed', 'tear']"
1,"['thrilled', 'seeing', 'movie', 'like']"
1,"['never', 'forget']"
1,"['not', 'just', 'cult', 'cult', 'classic']"
0,"['ha', 'depth', 'character', 'man', 'underneath']"
0,"['malta', 'setting', 'dry', 'barren', 'dialogue']"
0,"['movie', 'terrible']"
0,"['hockey', 'scene', 'terrible', 'defensemen', 'playing', 'like', '5', 'year', 'old', 'goalie', 'diving', 'shot', '10', 'foot', 'wide', 'net', 'etc']"
0,"['haven', 'seen', 'don', 'waste', 'time']"
0,"['call', 'movie', 'drama', 'ridiculous']"
0,"['started', 'watching', 'but', 'didn', 'believe', 'character']"
0,"['particular', 'relationship', 'bakery', 'assistant', 'waitress', 'just', 'didn', 'work']"
0,"['superficial', 'movie', 'gave', 'feeling', 'watching', 'play', 'rather', 'film']"
0,"['character', 'stagey', 'storyline', 'lot', 'like', 'stage', 'farce']"
0,"['time', 'pyromaniac', 'waylaid', 'assistant', 'bored', 'didn', 'care', 'happened', 'next', 'switched']"
0,"['glad', 'didn', 'pay', 'see']"
0,"['didn', 'laugh', 'even', 'smile']"
0,"['but', 'wasn', 'anything', 'just', 'one', 'big', 'yawn']"
1,"['really', 'good', 'show', 'watch']"
1,"['educational', 'child', '1', '8', 'year', 'old']"
1,"['barney', 'definitely', 'super', 'de', 'duper']"
1,"['pretty', 'funny']"
1,"['babie', 'bop', 'cute']"
1,"['kid', 'cool']"
0,"['but', 'storm', 'trooper', 'not', 'even', 'bad', 'enough', 'make', 'list', 'wonderfully', 'terrible', 'movie']"
0,"['just', 'lame']"
0,"['guy', 'said', 'better', 'dialogue', 'potted', 'plant', 'ha', 'right']"
0,"['everything', 'movie', 'stupid']"
0,"['even', 'love', 'bad', 'movie', 'not', 'watch', 'movie']"
0,['shameful']
1,"['would', 'give', 'television', 'series', '10', 'plus', 'could']"
1,"['writer', 'smack', 'think', 'best', 'actor', 'actress', 'bonus', 'show', 'character', 'real']"
1,"['must', 'say', 'taped', 'episode', 'find', 'watching']"
1,"['know', 'why', 'gave', '10']"
1,"['don', 'know', 'exactly', 'movie', 'but', 'latched', 'endearing', 'movie', 'ha', 'become', 'special', 'part', 'family', 'memory']"
1,"['totally', 'absolutely', 'recommend', 'movie', 'anyone', 'like', 'good', 'wholesome', 'family', 'movie', 'exactly']"
1,"['thing', 'four', 'kid', 'get', 'absolutely', 'hilarious', 'watch']"
1,"['one', 'best', 'movie', 'show', 'strong', 'sibling', 'bond']"
1,"['much', 'interesting', 'action', 'suspense', 'less', 'unneeded', 'controversy']"
1,"['everything', 'acting', 'cinematography', 'solid']"
1,"['definitely', 'worth', 'checking']"
1,"['damian', 'talented', 'versatile', 'many', 'way', 'writing', 'portraying', 'different', 'character', 'screen']"
1,"['movie', 'ha', 'cutting', 'edge']"
